dataset,fold,n_ensemble,weights,confusion_matrix,accuracy,Boots_Hostility_dataset,Boots_kDN_dataset,Boots_DCP_dataset,Boots_TD_U_dataset,Boots_CLD_dataset,Boots_N1_dataset,Boots_N2_dataset,Boots_LSC_dataset,Boots_F1_dataset,Boots_Hostility_class,Boots_kDN_class,Boots_DCP_class,Boots_TD_U_class,Boots_CLD_class,Boots_N1_class,Boots_N2_class,Boots_LSC_class,Boots_F1_class
thyroid,1,20,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.05154320987654321,0.08083333333333333,0.009680128783869325,0.19733796296296297,0.12327732394322222,0.08050154320987656,0.2748082120799027,0.989403125436643,0.19111552028218692,"[0.176056338028169, 0.7884057971014493, 0.006173869514433506]","[0.4661971830985916, 0.8243478260869564, 0.028900383781077926]","[0.09638554216867468, 0.03779069767441856, 0.006007458173510265]","[0.8820422535211268, 1.0, 0.1349073919572835]","[0.9112897253258603, 0.9476432058981571, 0.0571495097815691]","[0.38380281690140844, 0.7719806763285023, 0.03350853773847266]","[0.43349288374684003, 0.5897994268240678, 0.2529151380829993]","[0.9593061726061064, 0.9989723320158103, 0.9895653799055438]","[0.23138832997987926, 0.24458247066942715, 0.18708334326555584]"
thyroid,1,21,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.04645061728395062,0.07641975308641975,0.008942915287333656,0.198070987654321,0.12316379002646921,0.07611368312757201,0.27274873731857846,0.989458954603465,0.1909207818930041,"[0.18120805369127516, 0.7396449704142012, 0.004004672117470382]","[0.36107382550335576, 0.8313609467455622, 0.02676455865176039]","[0.09638554216867468, 0.03779069767441856, 0.005141897124117486]","[0.8833892617449665, 1.0, 0.13580427165025863]","[0.9099185007536897, 0.9481579775828506, 0.05707427103891494]","[0.2729306487695749, 0.789447731755424, 0.03098893153123088]","[0.39408276603982073, 0.582114899562297, 0.25228410639619536]","[0.9550020269357237, 0.9990586336740183, 0.9897742208635427]","[0.22770853307766056, 0.24295576218653137, 0.18707142459853954]"
thyroid,1,22,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.04891975308641975,0.07682098765432098,0.00884664843698653,0.1962770061728395,0.12232942767092168,0.07679269547325103,0.2742508308453947,0.988981464065264,0.19103835978835979,"[0.1437908496732026, 0.78419452887538, 0.0061687229076358785]","[0.35947712418300654, 0.8425531914893617, 0.027609203067689228]","[0.09638554216867468, 0.03779069767441856, 0.0050260344089666205]","[0.8782679738562091, 1.0, 0.1347949316438813]","[0.908071444589993, 0.9484498714148649, 0.056972282859255256]","[0.2647058823529412, 0.8097771023302939, 0.03179393131043681]","[0.4043313781127564, 0.5898798763598947, 0.25361990725316785]","[0.9467912444619907, 0.9991341991341991, 0.9895007794640005]","[0.2267351384998444, 0.24388478795773624, 0.18722907635878627]"
thyroid,1,23,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.05169753086419753,0.07959876543209878,0.007339283922944142,0.1970679012345679,0.12335098022825372,0.07941872427983537,0.2761596422285771,0.9894313893234236,0.1910751028806584,"[0.13333333333333333, 0.8348082595870207, 0.005341345351360374]","[0.424, 0.8359882005899705, 0.028175596728425973]","[0.09638554216867468, 0.03779069767441856, 0.0033866937045149304]","[0.8816666666666667, 1.0, 0.13449340677683191]","[0.9111169199635158, 0.948147635487847, 0.056956228585240624]","[0.3255555555555556, 0.8045722713864307, 0.03222333500250375]","[0.41980700861522646, 0.5948901940902532, 0.2545277340264229]","[0.9553914988814318, 0.9991686779297398, 0.9897326817168067]","[0.23317460317460317, 0.24329259727489813, 0.18706631375634877]"
thyroid,1,24,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.04567901234567901,0.07780864197530864,0.008217111555610898,0.19529320987654322,0.12210496319221771,0.0766383744855967,0.2773549042311309,0.9892450172850799,0.19118533215755437,"[0.11392405063291139, 0.7975077881619937, 0.0036660556573904347]","[0.3987341772151899, 0.8274143302180686, 0.02926178970171638]","[0.09638554216867468, 0.03779069767441856, 0.004313806576273899]","[0.8742088607594937, 1.0, 0.13437343776037328]","[0.9072928362727197, 0.9481242847646699, 0.05724712513664756]","[0.31751054852320676, 0.7754413291796469, 0.03291673609953896]","[0.4230965750938732, 0.5861775267477245, 0.25699842267403383]","[0.9542944524679297, 0.9990370999716794, 0.9896414396644685]","[0.22905364677516576, 0.2457350541462691, 0.18727037557232526]"
thyroid,1,25,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.04567901234567901,0.07558641975308641,0.008437350824486574,0.19560185185185186,0.12273957254855491,0.07513117283950617,0.27282561061756466,0.9885842079131483,0.19077748383303939,"[0.12048192771084337, 0.7816455696202531, 0.004834944981660554]","[0.3746987951807229, 0.8082278481012658, 0.028709569856618877]","[0.09638554216867468, 0.03779069767441856, 0.0044568477621801834]","[0.8802710843373494, 1.0, 0.1342739246415472]","[0.9087860129352764, 0.9483004013658454, 0.05749100118969204]","[0.31626506024096385, 0.7774261603375527, 0.03145770812493053]","[0.4093683088639149, 0.5788760037625614, 0.25292264093721906]","[0.9498665804156223, 0.9989739163789797, 0.9891083790184146]","[0.22504302925989672, 0.24306811332127784, 0.18707426284952125]"
thyroid,1,26,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.04953703703703704,0.08015432098765433,0.00831151911695014,0.1998263888888889,0.12662630939710018,0.08045524691358023,0.2752079498167494,0.9889790931573464,0.19097589653145206,"[0.17341040462427745, 0.7905604719764012, 0.003853887399463807]","[0.4312138728323699, 0.8359882005899705, 0.027044235924932977]","[0.09638554216867469, 0.03779069767441856, 0.004083930725708495]","[0.8793352601156069, 1.0, 0.13467660857908847]","[0.9115115327415164, 0.948567854678674, 0.057185403316497366]","[0.3680154142581888, 0.8080137659783678, 0.030792001787310095]","[0.4425504872739577, 0.6013425975288729, 0.25183162532705317]","[0.9602746634596734, 0.9991418610887637, 0.989233900129355]","[0.23341590971648774, 0.24476752352858544, 0.18669012511170685]"
thyroid,1,27,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.04737654320987654,0.08061728395061728,0.007972966370218165,0.1958912037037037,0.12251399585865753,0.07976337448559669,0.27498941528810844,0.9891156747281279,0.19080687830687829,"[0.125, 0.7635327635327636, 0.003832694550908182]","[0.3875, 0.8319088319088319, 0.030128311948008666]","[0.09638554216867468, 0.03779069767441856, 0.0043430991164310016]","[0.875, 1.0, 0.13437343776037328]","[0.9101645168298025, 0.948454790504394, 0.05740409990715611]","[0.2981770833333333, 0.8012820512820513, 0.03290284952507915]","[0.4107262637159398, 0.5909816366596522, 0.2536117138549849]","[0.9489303691275168, 0.9991107657774324, 0.9893882029998446]","[0.2271205357142857, 0.24576041242707908, 0.18681807000420564]"
thyroid,1,28,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.04567901234567901,0.07632716049382718,0.009001639633469276,0.19363425925925926,0.11896194887980074,0.07475823045267489,0.2750259542659838,0.9895397318099932,0.1907223691945914,"[0.1610738255033557, 0.7792207792207793, 0.005312966959986717]","[0.39865771812080536, 0.8337662337662338, 0.029619790801925953]","[0.09638554216867468, 0.03779069767441856, 0.005367697851241485]","[0.8791946308724832, 1.0, 0.1354391499252864]","[0.9100521300928014, 0.9484432838976938, 0.056974120856183245]","[0.3031319910514541, 0.7849025974025974, 0.03279373512645968]","[0.41841331655652436, 0.5952316777709584, 0.25510430727597505]","[0.9584703391739111, 0.9990751672569853, 0.9898207255647837]","[0.22690955576861618, 0.24489795918367344, 0.18705675861578236]"
thyroid,1,29,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.04675925925925926,0.07759259259259259,0.007892671028645154,0.1962770061728395,0.12360696285996323,0.07862139917695472,0.27441949839571667,0.9892891449692809,0.19067092886537332,"[0.1375, 0.7469879518072289, 0.005511022044088177]","[0.4, 0.8391566265060242, 0.02675350701402806]","[0.09638554216867468, 0.03779069767441856, 0.003870459233588125]","[0.88359375, 1.0, 0.1333500334001336]","[0.9114268240843133, 0.9483373264229694, 0.056829798782004975]","[0.30208333333333337, 0.8172690763052208, 0.03169672678690715]","[0.41187233650565913, 0.5900728178176448, 0.25324559122376095]","[0.957760067114094, 0.9992515516611902, 0.9895792474133551]","[0.22410714285714284, 0.24419104991394147, 0.1868101281928937]"
thyroid,1,30,Uniform,"[[16, 0, 0], [0, 37, 0], [0, 0, 667]]",1.0,0.04182098765432099,0.0733641975308642,0.0076355594643863975,0.1883101851851852,0.11517593981170568,0.07210648148148148,0.272443742235311,0.9893277552393379,0.1898478835978836,"[0.19285714285714287, 0.7534722222222222, 0.004461335095836088]","[0.4114285714285714, 0.8381944444444445, 0.02914738929279577]","[0.09638554216867468, 0.03779069767441856, 0.004147509665462137]","[0.8803571428571428, 1.0, 0.1336748182419035]","[0.9143159815539251, 0.9486778776506605, 0.05702521873742781]","[0.3273809523809524, 0.7766203703703703, 0.03267514871116986]","[0.42198592391357514, 0.5820251722400988, 0.2542521762610321]","[0.9553211888782359, 0.9989898989898989, 0.9896546260077439]","[0.22823129251700677, 0.2427248677248677, 0.18644367859503352]"
