,valores_combo,niveles,valor_split,num_models,num_models2,niveles_mediana,niveles_std,num_models_mediana,num_models_std,num_models2_mediana,num_models2_std,cycles_mean,cycles_median,cycles_std,max_num_cycles,max_num_models
119,alpha4-split2,"16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,80,85,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60","12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",50,60,55,65,16,10,12,16,80
120,alpha4-split20,"5, 6, 7, 8",20,205,246,"2, 3, 4, 5, 6, 7, 8","4, 5, 6, 7, 8",82,164,123,205,5,2,4,5,205
121,alpha4-split22,"4, 5, 6, 7",22,180,225,"5, 6, 7","3, 4, 5, 6, 7",225,135,270,180,4,5,3,5,225
122,alpha4-split24,"3, 4, 5, 6, 7",24,147,196,"4, 5, 6, 7","4, 5, 6, 7",196,196,245,245,3,4,4,4,196
123,alpha4-split26,"3, 4, 5, 6",26,159,212,"3, 4, 5, 6","3, 4, 5, 6",159,159,212,212,3,3,3,3,159
124,alpha4-split28,"3, 4, 5, 6",28,171,228,"2, 3, 4, 5, 6","4, 5, 6",114,228,171,285,3,2,4,4,228
125,alpha4-split30,"2, 3, 4, 5",30,122,183,"2, 3, 4, 5","3, 4, 5",122,183,183,244,2,2,3,3,183
126,alpha4-split4,"15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,135,144,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",81,45,90,54,15,9,5,15,135
127,alpha4-split6,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,130,143,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",130,104,143,117,10,10,8,10,130
128,alpha4-split8,"7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,119,136,"7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",119,119,136,136,7,7,7,7,119
129,alpha6-split1,"19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,57,60,"15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",45,15,48,18,19,15,5,19,57
