n_cycle,n_ensemble,alpha,split,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std
18,305,8,8,0.8137685723661457,0.795212205250833,0.1142515264099737
15,314,8,10,0.81316100597633,0.7952466236054023,0.1144153911708003
12,299,8,12,0.81295632144815,0.7960344045267709,0.11452308952909883
9,260,8,14,0.8137000170894474,0.7944891368173811,0.11426929863442926
9,296,8,16,0.8133140090495592,0.7942310522182683,0.1145096853838644
8,295,8,18,0.8130190700467226,0.7945316007148069,0.11454237747274833
8,327,8,20,0.8131193048786405,0.7942339882135707,0.11475185368085146
7,314,8,22,0.813102305804083,0.7944862008220788,0.11468632446160953
7,342,8,24,0.8133050621941776,0.796,0.1142285417062526
4,211,8,26,0.8130194152383317,0.796418975426609,0.11477821653477291
6,341,8,28,0.8135708425257264,0.7938435008383504,0.11396400402689193
3,182,8,30,0.8132114873884276,0.7939759036144578,0.11409005047823405
83,248,10,1,0.8115700430839135,0.7960187903699354,0.1140298564782194
60,299,10,2,0.8128474661731206,0.7964219114219114,0.11422741068938715
32,287,10,4,0.8137428134934751,0.7962021662693051,0.1140214884435637
24,311,10,6,0.8132339863393412,0.7956497891421556,0.11462560389720948
18,305,10,8,0.8133598492799087,0.79563417498532,0.1144579557685081
15,314,10,10,0.8136539218858424,0.7956527696222353,0.11448676814078218
12,299,10,12,0.8132145907213019,0.7944623866379592,0.11460075567482593
10,289,10,14,0.8135063588749128,0.7956283029947152,0.11451156320887337
9,296,10,16,0.8132480695942219,0.7938758400208783,0.11425949030986018
8,295,10,18,0.8130877889543076,0.7939964988157759,0.11475164593108786
7,286,10,20,0.8136649743545203,0.79601233118027,0.11403757018702383
6,269,10,22,0.8133769552304851,0.7937573749405811,0.11422286282886698
6,293,10,24,0.8132328646713033,0.7948578839995653,0.11432630453536564
6,317,10,26,0.8130194661883896,0.7952554315913094,0.11468988043680171
6,341,10,28,0.8134125713328438,0.7963855421686747,0.1141907602762009
4,243,10,30,0.8136590650942512,0.794270286541279,0.11416191521962736
85,254,12,1,0.811300775567079,0.797106087296927,0.11457589791502137
59,294,12,2,0.8127847992515457,0.796046059538426,0.11454734142912068
34,305,12,4,0.8136074365874548,0.7953437682353344,0.11453372657892043
19,246,12,6,0.8132705570747674,0.7952151412461355,0.11426835986291382
18,305,12,8,0.8131736007715512,0.7960187903699354,0.11457103242909113
11,230,12,10,0.8138307230192177,0.7942307692307693,0.11423454965133471
12,299,12,12,0.8135677197093215,0.7942307692307692,0.11421622482017615
9,260,12,14,0.8131205693974461,0.7925476190476191,0.11432995500710215
9,296,12,16,0.8135054754057336,0.7952180772414379,0.11450075478999192
9,332,12,18,0.8130894232595818,0.795212205250833,0.11463693919214855
8,327,12,20,0.8131828357950881,0.7939759036144578,0.11449976016933283
7,314,12,22,0.8128211605297821,0.7946274548182946,0.11461132584396366
7,342,12,24,0.813182784277038,0.7941201355896013,0.11487606335998478
5,264,12,26,0.8133180774839371,0.7943140645049042,0.11441356295785368
6,341,12,28,0.812976180184226,0.7948334618568225,0.11439624229044162
5,304,12,30,0.8130836695207544,0.7956277157956547,0.11470126973377341
90,269,14,1,0.8110400339348005,0.7960403210021529,0.11446613881889126
60,299,14,2,0.8132421668246743,0.7963887257780388,0.1143663868843362
26,233,14,4,0.8131785209494585,0.7965809096633156,0.11439781429953497
24,311,14,6,0.8133042397625826,0.7937257780387552,0.11408563436088082
16,271,14,8,0.8133517921916238,0.7955880126495412,0.11404038953243865
13,272,14,10,0.8131786917279065,0.79483052586152,0.11441341854619945
11,274,14,12,0.8131466607433624,0.7935251516930906,0.11430889761654578
11,318,14,14,0.8129130760870713,0.7946127316075813,0.11458948002192473
10,329,14,16,0.8134586198818833,0.7952495596007046,0.11432333813339975
8,295,14,18,0.8129587125597044,0.7938972816835412,0.11449952668265402
8,327,14,20,0.8134937239381813,0.7967674691720493,0.11458964813170579
7,314,14,22,0.8128186242694311,0.7941991341991341,0.11450533475228598
7,342,14,24,0.8130179538463699,0.795252495596007,0.11470474801802111
5,264,14,26,0.8135421312706749,0.7948847337401554,0.11427031233317546
4,227,14,28,0.8130228335016975,0.7940475682078736,0.1145329238556797
5,304,14,30,0.8134111897592725,0.7939458689458689,0.11435258522508102
56,167,16,1,0.8104733877590821,0.7956224310041105,0.11445743929571206
55,274,16,2,0.8125998461321764,0.7948864303635297,0.114420412257696
34,305,16,4,0.8130962748351496,0.7946701335255553,0.11459072752250016
23,298,16,6,0.8133384496809226,0.7937958069637459,0.11457660403797329
18,305,16,8,0.8132308986622764,0.7952436876100999,0.11451225608713961
15,314,16,10,0.8129957229240959,0.7960070463887258,0.11472869525130065
11,274,16,12,0.8131708171541902,0.7943210224889614,0.11437209544332087
8,231,16,14,0.8128534422828358,0.7922511301813242,0.11473392622972875
8,263,16,16,0.8130733711575913,0.7940658738851509,0.11447881365767086
9,332,16,18,0.8130005163069254,0.7952180772414379,0.11433505478180822
8,327,16,20,0.8129562860121177,0.7944803288314739,0.114584006049081
7,314,16,22,0.8132604085171146,0.7944263116018841,0.11457678239816571
7,342,16,24,0.8137207839216484,0.7942281162229659,0.1140304283038881
5,264,16,26,0.8128599048362868,0.7938523088242577,0.11485648107242462
6,341,16,28,0.8132805473127155,0.794067723887001,0.11458301889984623
5,304,16,30,0.8131885372036192,0.796764533176747,0.11457797355491035
68,203,18,1,0.8112046039813687,0.7939252737445508,0.11416184300048252
59,294,18,2,0.8128516107463748,0.7982142857142858,0.11446829064216076
33,296,18,4,0.8131270078350643,0.7944803288314739,0.11437596085483809
24,311,18,6,0.8132617168360191,0.7955903614457831,0.11421668861355792
18,305,18,8,0.8131370667168762,0.7948614210217264,0.11434899533539919
15,314,18,10,0.8131056444778388,0.795593884640146,0.11468286264140833
12,299,18,12,0.8136204828388842,0.7957831325301206,0.11412738818683689
11,318,18,14,0.8125813832849099,0.7933440986494422,0.11458473583695698
5,164,18,16,0.8127326979601969,0.7960501966227156,0.11482180026864133
9,332,18,18,0.8132948639200398,0.795212205250833,0.11450812019323496
8,327,18,20,0.8133547051595066,0.7940036101868162,0.11450974385621016
4,179,18,22,0.8129111037139425,0.7935525098311358,0.11453893258408991
7,342,18,24,0.8133667396503154,0.7929624192601292,0.11432211876896198
6,317,18,26,0.8129941866678259,0.796015854374633,0.11427406574817955
6,341,18,28,0.8126789228564972,0.7952856367551024,0.11479532513211493
5,304,18,30,0.8131987704651645,0.7960444136016656,0.11467943268831363
99,296,20,1,0.8108322207736339,0.7983344899375433,0.1144245758745649
44,219,20,2,0.812676971407413,0.7960093951849677,0.1145549964689952
34,305,20,4,0.8132213529157185,0.7956224310041105,0.114456357244297
19,246,20,6,0.8133148662366586,0.7958448645379574,0.1145453719248947
18,305,20,8,0.8131304810621864,0.7946333268088994,0.11480255840603987
15,314,20,10,0.8133249679409867,0.7945135589601239,0.11455389198066873
9,224,20,12,0.8129458946370832,0.7948678802113918,0.11473357792258458
10,289,20,14,0.8132823299602737,0.7939759036144578,0.114291479250192
10,329,20,16,0.8131758418401146,0.7939759036144578,0.11399395973884786
9,332,20,18,0.8129723885158975,0.7952210132367403,0.11455978885387574
8,327,20,20,0.813038563712148,0.7956916493176036,0.11476762326208248
7,314,20,22,0.8134119289456667,0.7942310522182683,0.11441786559052251
7,342,20,24,0.813181823511877,0.7941678232708766,0.1147107492545662
6,317,20,26,0.8130428549862044,0.7942310522182683,0.1146568946590367
6,341,20,28,0.8133088615613816,0.7938435008383504,0.11448308239626684
4,243,20,30,0.8125171770208378,0.7918753227826161,0.11497098520504573
