,Hostility
643,0.1820246238758897
644,0.7491015230835323
645,0.46932118807118806
646,0.4457484983399618
647,0.1806974037986696
648,0.12712597522724112
649,0.8385110904098245
650,0.19758198318324904
651,0.2623188405797102
652,0.2165804949767215
653,0.4125261607974374
654,0.30022279432656784
655,0.29343922651933707
656,0.7774207080008185
657,0.4452058993595289
658,0.14557940875076425
659,0.17870170709793354
660,0.45925024050024055
661,0.7815846834834177
662,0.2992880777765349
663,0.2787017070979335
664,0.2085397753910413
665,0.329246691202182
666,0.5452299713786111
667,0.3834988666282717
668,0.23772279432656784
669,0.4125261607974374
670,0.4910604841017213
671,0.3062844144138195
672,0.4227897743675969
673,0.798042478948578
674,0.48197060524188184
675,0.13508198318324904
676,0.6559817751843726
677,0.2885394543600768
678,0.22994040311029262
679,0.5437259499759499
680,0.3769984983399618
681,0.22189715416514488
682,0.20195752105142195
683,0.6574586327680387
684,0.40477284923161216
685,0.5165011333717283
686,0.4224460305754357
687,0.5389352819765191
688,0.3129441313403578
689,0.14156077348066298
690,0.2151841912021819
691,0.5378485359691308
692,0.27843880312939717
693,0.28423181024980104
694,0.20195752105142195
695,0.49320567882627375
696,0.2436526874900904
697,0.5807056788262738
698,0.3163862517204101
699,0.12577462387588978
700,0.2349515780783641
701,0.6336137482795898
702,0.5547941006404711
703,0.7458567495643685
704,0.5415011333717283
705,0.33470984353337296
706,0.4983369913782285
707,0.4915011333717283
708,0.258073265032028
709,0.2878809573397203
710,0.13508198318324904
711,0.5917515016600382
712,0.6520135212161187
713,0.2425651435831344
714,0.14557940875076425
715,0.5218904750198801
716,0.7772091456152448
717,0.5150036580448951
718,0.4035420343394369
719,0.2165804949767215
720,0.14035795720922306
721,0.4026276545070596
722,0.2842080338986279
723,0.329246691202182
724,0.22179371554371552
725,0.22121429067305365
726,0.39268489095616754
727,0.3692943211737263
728,0.6851928583134532
729,0.3912900482488112
730,0.3929685635979687
731,0.5378485359691308
732,0.5874738392025626
733,0.45925024050024055
734,0.14275097522724112
735,0.21920427580804935
736,0.7556999244928306
737,0.12712597522724112
738,0.2295237364436259
739,0.5050354737854738
740,0.1811526874900904
741,0.35210738335738334
742,0.5934476780014901
743,0.6104514467892077
744,0.13508198318324904
745,0.38493265993266
746,0.5407497594997595
747,0.1549037530050189
748,0.6450142868848818
749,0.2049412905425564
750,0.3954321437034203
751,0.3163862517204101
752,0.564503308797818
753,0.30920803389862794
754,0.20195752105142195
755,0.22189715416514488
756,0.16284026094152682
757,0.6045678562965797
758,0.34119067660734326
759,0.3306366053271994
760,0.5074102242808192
761,0.3929685635979687
762,0.1169402356902357
763,0.3834988666282717
764,0.5124027978194645
765,0.30159932659932664
766,0.22179371554371552
767,0.16518419120218197
768,0.1670237364436259
769,0.5763776545070596
770,0.13508198318324904
771,0.3954321437034203
772,0.17916849655980094
773,0.11829893134240965
774,0.6520135212161187
775,0.17870170709793354
776,0.14557940875076425
777,0.4452058993595289
778,0.16285629646991417
779,0.12577462387588978
780,0.22489410681399635
781,0.3735262761177395
782,0.5841188602674999
