,n_ensemble,weights,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme
155,15,N1,0.6718140929535232,0.034881341542939,0.6752923538230885,0.0479111255365685,0.6545577211394302,0.0500473040350393,0.657976011994003,0.0509741710015884,0.6994602698650675,0.0451311219960554,0.6838980509745127,0.0688198668945029,0.6666416791604198,0.0395685662760858,0.6838530734632684,0.0614509242392343
505,50,N1,0.6942578710644678,0.0800617528115995,0.6976911544227886,0.0546590221911344,0.6976911544227886,0.0511471138602849,0.6735232383808095,0.0576980229806763,0.6925187406296851,0.0697154930590399,0.6908095952023988,0.0754422729017047,0.6959820089955022,0.0619757718262344,0.6925187406296851,0.051290947237706
1005,100,N1,0.695952023988006,0.0744375357634358,0.7045877061469266,0.076882302556125,0.6907796101949025,0.0748832977194887,0.6890854572713643,0.0602537935339747,0.7046026986506747,0.0664127006906455,0.701184407796102,0.0659574197394501,0.699415292353823,0.0661803870033651,0.699415292353823,0.0593734476631685
1505,150,N1,0.7011544227886057,0.0683613496067873,0.7011694152923538,0.0677186807411643,0.6994302848575712,0.0791276630524565,0.6942728635682159,0.0642678597520832,0.7011544227886057,0.0694399503191282,0.7046176911544227,0.0651824123397933,0.699415292353823,0.0751213721662398,0.6959820089955022,0.0628686784388988
1995,199,N1,0.7046026986506747,0.0629662534397632,0.699415292353823,0.07105413594642,0.7080659670164918,0.0663487871057881,0.6925487256371814,0.0648250186377748,0.7028785607196402,0.0621148178564504,0.7080659670164917,0.0640694653472777,0.6976911544227886,0.0651995831207108,0.7028785607196402,0.0720828954724652
156,15,N2,0.6839730134932533,0.0471648119564071,0.6805097451274362,0.0640571061539854,0.6943028485757121,0.0347592962640364,0.6805097451274362,0.0762403273985053,0.7098200899550224,0.0528129432121286,0.6683808095952024,0.0520283732365375,0.6855772113943028,0.0497834829308725,0.668455772113943,0.0536058905587765
506,50,N2,0.6822488755622189,0.0504907316859769,0.7046776611694152,0.069258158694706,0.6873763118440779,0.0561003584032622,0.7064017991004498,0.0638588841581561,0.702863568215892,0.0671102843927899,0.6873913043478261,0.0485278942181054,0.6942128935532234,0.0680563359630759,0.699415292353823,0.0748736429664893
1006,100,N2,0.6804497751124438,0.053740948084088,0.704647676161919,0.0655627477230212,0.7097901049475263,0.0748401287236427,0.6960119940029985,0.0647096417887252,0.6994302848575712,0.0714792596710104,0.695952023988006,0.0619005012703811,0.7097901049475263,0.0650091801205927,0.7063418290854573,0.0673315663473549
1506,150,N2,0.6873913043478261,0.0543091782140919,0.7115292353823088,0.0640642860039868,0.7011394302848576,0.0797444495433552,0.7029085457271365,0.0692719667864727,0.7046026986506747,0.0779920722956391,0.6856221889055473,0.0579986465664131,0.7098050974512743,0.0714505159881366,0.7115592203898051,0.0689149478896984
1996,199,N2,0.6925637181409295,0.056780320109586,0.714992503748126,0.0490113867732545,0.7063268365817091,0.0827688153716891,0.704647676161919,0.0652787541542203,0.7114842578710645,0.0772370337773495,0.6994602698650675,0.0530767295431453,0.7028635682158921,0.0834040037743838,0.7098050974512743,0.0677123489775343
157,15,TD_U,0.6839730134932533,0.0751203623054355,0.6528635682158921,0.0390504144842905,0.6822038980509746,0.0458219272136623,0.6787556221889055,0.0485280737029525,0.6770464767616191,0.0654267006021626,0.6891004497751124,0.0318867328536021,0.7028935532233882,0.0363083186256961,0.6770014992503748,0.0414280480202295
507,50,TD_U,0.6752773613193404,0.073685666026222,0.6580059970014992,0.0329113801786707,0.7046026986506747,0.0649988929728674,0.6718140929535232,0.0446881307978811,0.6873313343328336,0.0669895073612649,0.6925937031484258,0.0538920400841123,0.7029385307346327,0.067196244581675,0.6873313343328336,0.0590281642924732
