,n_ensemble,weights,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme
152,15,F1,0.9662337662337664,0.0112053498749305,0.9632034632034632,0.0059277333063329,0.9727272727272728,0.0072760763263946,0.9735930735930736,0.0074037365266178,0.9731601731601732,0.0067759635681812,0.9753246753246751,0.004488407219335,0.9714285714285716,0.0075602810374775,0.9735930735930736,0.0058079687727267,0.9748917748917748,0.0036219048767708,0.9770562770562772,0.00328263006236
502,50,F1,0.9705627705627704,0.0069466694960524,0.9662337662337664,0.0069466694960524,0.9748917748917748,0.0078937586704807,0.9757575757575758,0.0060062497513037,0.9761904761904764,0.0040494127562488,0.9774891774891774,0.004488407219335,0.9766233766233766,0.0038719791818178,0.977922077922078,0.0046925288720084,0.9774891774891774,0.0054328573151563,0.9783549783549784,0.0050762075322764
1002,100,F1,0.9688311688311688,0.0097522773385877,0.9658008658008658,0.0092340818215158,0.9735930735930736,0.0074037365266178,0.9727272727272728,0.0062358702557956,0.976190476190476,0.0021645021645021,0.977922077922078,0.0046925288720084,0.9766233766233766,0.0038719791818178,0.9770562770562772,0.004488407219335,0.977922077922078,0.0035566399837998,0.9783549783549784,0.0050762075322764
1502,150,F1,0.967965367965368,0.0118949191896399,0.9653679653679652,0.0104928135441912,0.9744588744588744,0.0074037365266177,0.974025974025974,0.0055184193870051,0.9774891774891774,0.0019359895909089,0.977922077922078,0.0046925288720084,0.9774891774891774,0.0029039843863634,0.9774891774891774,0.0047421866450663,0.9766233766233766,0.0046925288720084,0.9783549783549784,0.0048399739772722
1992,199,F1,0.9688311688311688,0.0103353561786262,0.964935064935065,0.0101984579994716,0.974025974025974,0.0066714437261569,0.9748917748917748,0.0058481628078382,0.9766233766233766,0.0028221655433777,0.977922077922078,0.0041635030436518,0.9757575757575758,0.0038719791818178,0.977922077922078,0.0041635030436517,0.9770562770562772,0.004488407219335,0.977922077922078,0.0051676780893131
153,15,Hostility,0.9554112554112552,0.0049830581961997,0.9722943722943724,0.0072438097535417,0.9675324675324676,0.01060385170036,0.9658008658008658,0.0082988266288662,0.9692640692640692,0.0074037365266177,0.967965367965368,0.0085764557385969,0.967965367965368,0.0085764557385969,0.9709956709956712,0.0075912025613637,0.967965367965368,0.0093600642036535,0.9675324675324676,0.0078042235399653
503,50,Hostility,0.9554112554112556,0.0047421866450663,0.9735930735930736,0.0069128655509399,0.9709956709956712,0.0097522773385877,0.9714285714285716,0.0078640268937597,0.974025974025974,0.0063105539987503,0.9709956709956712,0.0062358702557956,0.9727272727272728,0.0081851387018134,0.9744588744588744,0.0070802715297818,0.9735930735930736,0.0067413036806915,0.9722943722943724,0.0084387829825186
1003,100,Hostility,0.9536796536796536,0.0052128115059707,0.9731601731601732,0.0062358702557956,0.9709956709956712,0.0069466694960525,0.9709956709956712,0.0066008444510722,0.9744588744588744,0.0067413036806915,0.9766233766233766,0.007713649212643,0.9735930735930736,0.0072438097535417,0.974025974025974,0.0055184193870051,0.9722943722943724,0.0078640268937597,0.971861471861472,0.00795288877527
1503,150,Hostility,0.9536796536796536,0.0062358702557956,0.9735930735930736,0.0060062497513037,0.9722943722943724,0.0051676780893131,0.9705627705627704,0.0058481628078382,0.9722943722943724,0.007713649212643,0.9757575757575758,0.0060062497513037,0.974025974025974,0.0071788415375658,0.9753246753246751,0.0066008444510722,0.9727272727272728,0.0084664966301333,0.9735930735930736,0.0082988266288661
1993,199,Hostility,0.9536796536796536,0.0054328573151563,0.9727272727272728,0.0066008444510722,0.9727272727272728,0.0058481628078382,0.9696969696969696,0.0048399739772722,0.9727272727272728,0.0078937586704807,0.9748917748917748,0.0058481628078381,0.974025974025974,0.0070137886346405,0.9748917748917748,0.0058481628078381,0.9735930735930736,0.0080115824776284,0.9735930735930736,0.00897681443867
