,n_ensemble,weights,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme
1502,150,F1,0.7357723577235772,0.0360981887756563,0.7693379790940768,0.0755844624434297,0.7740998838559815,0.0461151723486453,0.7694541231126597,0.0451189989422776,0.7499419279907085,0.0435880625664414,0.7789779326364692,0.0511950133798054,0.7743321718931475,0.033992221341134,0.7500580720092915,0.0460760317019997,0.7500580720092915,0.039447525567105,0.7740998838559815,0.026634105215955
1992,199,F1,0.740650406504065,0.0503414321170483,0.7594657375145181,0.0671333525905344,0.7740998838559814,0.0549448370383966,0.7598141695702672,0.0433806072063098,0.759581881533101,0.0338216487306876,0.7789779326364692,0.0453214736181666,0.7790940766550523,0.0336882728304584,0.7500580720092915,0.0460760317019997,0.759581881533101,0.0379650618552407,0.7886178861788619,0.0244592795454735
153,15,Hostility,0.764692218350755,0.0442213679803715,0.8076655052264808,0.0698645130187136,0.7743321718931475,0.0608809618835635,0.7550522648083624,0.0409014151784884,0.7696864111498257,0.0888706678558382,0.759581881533101,0.0446569598037803,0.7545876887340303,0.0872749078710987,0.7698025551684088,0.057660563338202,0.7599303135888502,0.0426455784830501,0.7742160278745644,0.0386307646651105
503,50,Hostility,0.7498257839721255,0.0633589307494318,0.8361207897793264,0.0699079424973707,0.8175377468060395,0.0589944164708895,0.7938443670150988,0.0750129880753095,0.7744483159117305,0.0628528570568367,0.7887340301974448,0.0564769323924099,0.7594657375145181,0.0658706580241909,0.7745644599303135,0.0845864217133812,0.7982578397212544,0.0458044238721146,0.7838559814169571,0.0548978634286739
1003,100,Hostility,0.7450638792102207,0.0590509817369856,0.8313588850174216,0.0525938153986499,0.7934959349593497,0.0452693568471406,0.80801393728223,0.0546889120062423,0.7936120789779326,0.0609833521991173,0.783739837398374,0.0373800641943379,0.7740998838559815,0.039493236088082,0.8033681765389084,0.0672728573942578,0.783739837398374,0.0554072097988834,0.7984901277584204,0.0586210974833676
1503,150,Hostility,0.7454123112659697,0.0635173469294781,0.8409988385598142,0.0542070401502593,0.783739837398374,0.0406537247691621,0.8176538908246226,0.061039179296032,0.7936120789779326,0.0699624324469241,0.8128919860627178,0.0534615850418667,0.7643437862950059,0.0358460032001777,0.7890824622531939,0.0707161148373127,0.7982578397212544,0.0540406773525885,0.8031358885017422,0.0584597969880226
1993,199,Hostility,0.7358885017421603,0.0703251792751459,0.821835075493612,0.0510462541151809,0.7933797909407666,0.0309921777310288,0.8032520325203253,0.0733610617522706,0.7937282229965157,0.067470328654042,0.8224157955865273,0.0420980013118554,0.7499419279907085,0.0365106254980619,0.7794425087108013,0.0765432260735309,0.7934959349593497,0.0482986685258703,0.7842044134727061,0.0680417121654538
154,15,LSC,0.7452961672473868,0.0456218376751061,0.7599303135888501,0.0491276842704238,0.7549361207897793,0.0302058194409035,0.764924506387921,0.0706123157759273,0.7501742160278745,0.0684368219822802,0.7304297328687572,0.0486773701308693,0.7933797909407666,0.0463711448613532,0.7790940766550523,0.0412527956669082,0.7694541231126597,0.0820902850485281,0.7022067363530778,0.0675315298688632
504,50,LSC,0.7112659698025552,0.0525534037601341,0.7787456445993032,0.0360444312048379,0.7645760743321719,0.0342023922309983,0.7596980255516841,0.0553612376733046,0.7554006968641115,0.0815187058576822,0.7600464576074333,0.0719078281840509,0.7885017421602788,0.0192970412088881,0.7981416957026713,0.0315694953635636,0.8030197444831592,0.0383042022440182,0.7789779326364693,0.0246741126942245
1004,100,LSC,0.7307781649245063,0.0637452401518954,0.7932636469221835,0.0271296367637586,0.7550522648083624,0.0627733977075337,0.7598141695702672,0.0398049630420366,0.7599303135888501,0.0491276842704238,0.7598141695702672,0.0318989288024163,0.7642276422764228,0.0282232354941297,0.7982578397212544,0.0192191154989848,0.7839721254355401,0.0460566319602749,0.8031358885017422,0.0339112690375294
1504,150,LSC,0.7355400696864112,0.0584260404675255,0.8076655052264808,0.0446161620042809,0.7547038327526132,0.0464296518677051,0.7743321718931475,0.0507218362423458,0.7694541231126597,0.0344294050122686,0.7455284552845528,0.0504398108728518,0.7691056910569106,0.0283264046704194,0.8174216027874565,0.0200099999146511,0.7693379790940766,0.046300183338076,0.8032520325203253,0.0504715589341072
1994,199,LSC,0.7354239256678281,0.0566947601755268,0.826945412311266,0.0310373023613538,0.7643437862950059,0.0491805123346607,0.7598141695702672,0.0398049630420366,0.7694541231126597,0.0344294050122686,0.7599303135888502,0.0593239044253059,0.7787456445993032,0.021186337220621,0.8029036004645761,0.0195237715230526,0.7790940766550523,0.0374746734678963,0.7886178861788617,0.0247437192571308
155,15,N1,0.7787456445993032,0.0360444312048379,0.7885017421602788,0.0094302220228044,0.7645760743321719,0.0479957340020508,0.7500580720092915,0.0265662781983661,0.7257839721254356,0.0861762007659766,0.7790940766550523,0.0673517651625931,0.7594657375145181,0.0795177374720062,0.7646922183507548,0.0611570223189195,0.8029036004645761,0.0310171946718708,0.7933797909407666,0.0262880896089014
505,50,N1,0.7452961672473868,0.045621837675106,0.7979094076655052,0.0410384663044245,0.7456445993031359,0.0748532206142002,0.783739837398374,0.0283264046704195,0.759349593495935,0.0498787516030324,0.7888501742160279,0.0528448902974831,0.7548199767711963,0.0577902572685674,0.7599303135888501,0.042972502111678,0.7792102206736353,0.0405827377708403,0.7936120789779326,0.0508446889789781
1005,100,N1,0.7501742160278746,0.0384930259927979,0.7883855981416957,0.0207342284975096,0.764692218350755,0.0555816177717777,0.7787456445993032,0.0318709006597264,0.7451800232288037,0.0502170124403979,0.7599303135888502,0.0593239044253059,0.7550522648083624,0.044388824746926,0.7646922183507548,0.0611570223189195,0.7501742160278746,0.0251271350143186,0.783739837398374,0.0283264046704195
1505,150,N1,0.7356562137049941,0.0502102964220134,0.7885017421602788,0.0349673552827769,0.7693379790940766,0.0351764934852334,0.7548199767711963,0.0257436564200801,0.7450638792102207,0.0407477679249323,0.7500580720092915,0.0460760317019997,0.7644599303135888,0.0306095131658808,0.7645760743321719,0.0421744344210519,0.7598141695702672,0.0469820141541691,0.7838559814169571,0.0399567497294591
1995,199,N1,0.7405342624854819,0.0446879110352255,0.7835075493612079,0.0254007791791261,0.7547038327526133,0.0464296518677051,0.759581881533101,0.0243106105562537,0.7547038327526132,0.0464296518677051,0.7596980255516841,0.0439440529383392,0.759581881533101,0.0340279180916804,0.7694541231126597,0.0518323182034344,0.7693379790940766,0.0397091117138519,0.7886178861788619,0.0296934852771068
156,15,N2,0.7641114982578397,0.0696941536542827,0.7882694541231127,0.047223649501694,0.7646922183507548,0.050501617634249,0.8031358885017422,0.0447248734351493,0.7645760743321719,0.0415054426740306,0.7454123112659699,0.0757306650774211,0.7976771196283392,0.0544649198936218,0.7599303135888501,0.070459561238612,0.7642276422764228,0.0580995869477964,0.8036004645760743,0.0838858164355784
506,50,N2,0.7501742160278745,0.0899164008802176,0.7883855981416957,0.0269694314029268,0.7885017421602788,0.0614307442868406,0.7981416957026713,0.0687271864266402,0.7596980255516841,0.0442613868087269,0.7931475029036005,0.0629986291053916,0.783623693379791,0.0170775157033336,0.7983739837398375,0.0566870268951555,0.7835075493612079,0.0567821324419414,0.807897793263647,0.0217959654186406
1006,100,N2,0.7550522648083624,0.0732920753330877,0.7788617886178862,0.0098328791004792,0.7887340301974448,0.0374832215743984,0.807897793263647,0.055136918697783,0.783739837398374,0.0373800641943379,0.8030197444831592,0.0451010569009965,0.7933797909407666,0.0262880896089014,0.8126596980255517,0.0637584647019859,0.783623693379791,0.0478514766074849,0.807897793263647,0.0365978077400422
1506,150,N2,0.740534262485482,0.0716164681598015,0.7839721254355401,0.0431944117808109,0.7789779326364692,0.0453214736181666,0.7982578397212544,0.0681840571865565,0.7739837398373984,0.0435489737703453,0.7982578397212544,0.0458044238721146,0.783855981416957,0.0275716702374067,0.8174216027874565,0.0355631202150606,0.7740998838559815,0.0427687633902949,0.8127758420441348,0.0377034504875554
1996,199,N2,0.7451800232288037,0.080212350417655,0.7789779326364692,0.0180378802864736,0.783855981416957,0.0364292523079541,0.783739837398374,0.0586291508591773,0.783623693379791,0.0379397374458793,0.80801393728223,0.0430939699767142,0.7790940766550523,0.0412527956669082,0.8173054587688734,0.0364782829019613,0.7739837398373984,0.0276174993143417,0.8272938443670151,0.0504150669519968
157,15,TD_U,0.740418118466899,0.0513371014243625,0.7260162601626016,0.0313975758217945,0.7645760743321719,0.0245542299876573,0.7206736353077817,0.0899122751821691,0.7065040650406503,0.0377101582124367,0.7548199767711963,0.0198313998660983,0.7596980255516841,0.0369348935914438,0.7648083623693379,0.0438049295369247,0.7742160278745644,0.0386307646651105,0.7594657375145181,0.0306199778628631
507,50,TD_U,0.7451800232288037,0.0496564919347986,0.7261324041811846,0.0454552137897242,0.7403019744483159,0.0212950936989343,0.716144018583043,0.0412176287797996,0.759581881533101,0.0171337032426618,0.7403019744483159,0.0464129431059401,0.783855981416957,0.0364292523079541,0.740418118466899,0.0349036448320886,0.7886178861788619,0.0244592795454735,0.7403019744483159,0.0319433003880731
1007,100,TD_U,0.7450638792102207,0.0529921005974362,0.7261324041811846,0.0454552137897242,0.7401858304297328,0.0229130690743929,0.7306620209059234,0.0436649767117731,0.7304297328687572,0.0421260295451302,0.7307781649245063,0.0390695600263382,0.759349593495935,0.0399445098235829,0.7305458768873403,0.0442872844713997,0.783623693379791,0.0170775157033336,0.7694541231126597,0.0386887737606291
1507,150,TD_U,0.7547038327526133,0.040209572518297,0.7261324041811846,0.0454552137897242,0.7254355400696865,0.0534000465971294,0.7354239256678281,0.0517242011142599,0.7545876887340303,0.0373507318040996,0.7306620209059234,0.0464982400707128,0.7641114982578397,0.0449756371094992,0.7643437862950059,0.0463602347737116,0.7498257839721254,0.0238957674310185,0.7548199767711963,0.0194753468225084
1997,199,TD_U,0.759349593495935,0.0362231576899112,0.7261324041811846,0.0454552137897242,0.7303135888501743,0.0464187555313295,0.7306620209059234,0.0525068598117818,0.7545876887340303,0.0331305775303049,0.7306620209059234,0.0464982400707129,0.7689895470383276,0.038433844023555,0.7498257839721254,0.0375146977913944,0.7543554006968641,0.0461224846728566,0.7547038327526133,0.0319675730152247
158,15,Uniform,0.7889663182346108,0.055066842138108,0.7788617886178861,0.0358671647422202,0.7738675958188154,0.0416696510968476,0.7743321718931475,0.0479922206880375,0.759581881533101,0.0631851749213018,0.7743321718931475,0.0416696510968476,0.7454123112659697,0.071890473701543,0.7739837398373984,0.0435489737703453,0.7598141695702672,0.0398049630420367,0.7692218350754937,0.036487526569064
508,50,Uniform,0.7840882694541231,0.05680439977107,0.7644599303135888,0.0455052650176306,0.764692218350755,0.0445367259645297,0.7934959349593497,0.0423539671213902,0.7835075493612079,0.0304736984123173,0.7740998838559815,0.0461151723486453,0.7788617886178862,0.0390885451032324,0.7742160278745646,0.0484011995168051,0.7642276422764228,0.0328633189707802,0.7499419279907085,0.0439079693436191
1008,100,Uniform,0.8032520325203251,0.040853978406031,0.7547038327526133,0.0319675730152247,0.7739837398373984,0.0276174993143417,0.7886178861788619,0.034338681784716,0.783855981416957,0.0608820697266316,0.7548199767711963,0.0390777592592211,0.783739837398374,0.0500306453452402,0.7838559814169571,0.0433588348662734,0.759581881533101,0.0338216487306876,0.7594657375145181,0.0306199778628631
1508,150,Uniform,0.7840882694541231,0.05680439977107,0.7451800232288037,0.0575856520960312,0.7788617886178862,0.0257600259208123,0.7694541231126597,0.0418602120579328,0.7886178861788617,0.0422850369649187,0.7596980255516841,0.0442613868087269,0.7499419279907085,0.055332599974633,0.7743321718931475,0.0535737498277429,0.7545876887340303,0.0407986346772515,0.7642276422764228,0.0405819067789024
1998,199,Uniform,0.7743321718931475,0.0479922206880375,0.7452961672473868,0.0571937065427189,0.7691056910569106,0.0283264046704195,0.7693379790940766,0.0391768770160014,0.7885017421602788,0.0311008005851616,0.7548199767711963,0.0390777592592211,0.7596980255516841,0.0499797280173056,0.7645760743321719,0.0479957340020508,0.7498257839721255,0.0335247048959647,0.7544715447154472,0.0481777232938771
159,15,kDN,0.7067363530778165,0.0519785034656277,0.7545876887340303,0.0560155630051764,0.764692218350755,0.0372644061004486,0.7547038327526132,0.0319675730152247,0.740418118466899,0.045481914632291,0.7651567944250871,0.0831308470040105,0.7210220673635308,0.0474249606899749,0.7644599303135888,0.0638971572296918,0.7357723577235772,0.0360981887756563,0.7642276422764228,0.0409253189528891
509,50,kDN,0.7067363530778165,0.0591280289829817,0.7881533101045296,0.0652508218676047,0.7545876887340303,0.0442941372005151,0.7743321718931475,0.0416696510968476,0.7548199767711963,0.0457598589678544,0.7790940766550523,0.0289388618900117,0.7450638792102207,0.0559785253300157,0.7740998838559815,0.0315090823838572,0.7160278745644599,0.0419929295930102,0.7547038327526132,0.0213314861284309
1009,100,kDN,0.7114982578397212,0.0535072985177753,0.8075493612078978,0.0385591145004599,0.7498257839721254,0.0505483400839663,0.7548199767711963,0.0257436564200801,0.7547038327526132,0.0620998618731566,0.7548199767711963,0.0515835062475808,0.7497096399535425,0.0457222581171305,0.7450638792102207,0.0284612096512028,0.7210220673635308,0.050740116957296,0.7643437862950058,0.0122942709159423
1509,150,kDN,0.7211382113821138,0.0521734263708112,0.8029036004645761,0.0425723678149002,0.7403019744483159,0.0497955204827667,0.7501742160278745,0.0346159838523199,0.7547038327526132,0.0645587339580591,0.7452961672473868,0.0352846598905445,0.7544715447154472,0.0418831660425176,0.7693379790940766,0.0196734734569736,0.7209059233449477,0.0485493806434913,0.7548199767711963,0.0388982773645511
1999,199,kDN,0.7306620209059232,0.0464982400707128,0.8126596980255517,0.0587899867047258,0.7355400696864111,0.034059122057973,0.7548199767711963,0.009789914291701,0.7498257839721254,0.0630267264367666,0.7452961672473868,0.0352846598905445,0.7495934959349594,0.0494796011332176,0.7598141695702672,0.0362627033955255,0.7405342624854819,0.0378168741259236,0.7498257839721254,0.0292310522071215
