,n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split1_classic,accuracy_std_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_std_split1_classic_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split2_classic,accuracy_std_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_std_split2_classic_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme,accuracy_mean_split4_classic,accuracy_std_split4_classic,accuracy_mean_split4_classic_extreme,accuracy_std_split4_classic_extreme
494,199,Uniform,Data10_,0.8943333333333333,0.0109671225842413,0.8936666666666667,0.0116308975482452,0.8966666666666667,0.0103413947049923,0.8943333333333333,0.0078704793020783,0.8960000000000001,0.0069322114476951,0.8943333333333333,0.0069322114476951,0.8956666666666667,0.0070316743699096,0.8959999999999999,0.0078704793020783,0.897,0.0069121471177758,0.8963333333333333,0.0073029674334021,0.8956666666666667,0.0072264944628929,0.893,0.0087717982446271,0.8949999999999999,0.008249579113843,0.8953333333333333,0.0097467943448089,0.8949999999999999,0.0069721668877839,0.8949999999999999,0.0094280904158206
0,average,Uniform,Data10_,0.8925333333333334,0.01001130678979252,0.8925333333333333,0.00885972298916248,0.8958666666666666,0.00994757295855564,0.8923333333333334,0.00700305366936812,0.893,0.00787013943948182,0.8933333333333333,0.00843084244465822,0.8934666666666666,0.00788045141593172,0.8936,0.00696305298597516,0.8947333333333333,0.00902939136412738,0.8946666666666667,0.0072524481836099995,0.8939333333333334,0.007997471955753361,0.8914666666666667,0.009320326258209399,0.8933333333333333,0.0074291515452743,0.8918666666666667,0.0087233976815596,0.8952,0.0073467303717726,0.8939333333333334,0.00905817457730796
530,15,N2,Data11_,0.8535,0.0086782774788548,0.828,0.0147531776238205,0.8504999999999999,0.0083666002653407,0.8495000000000001,0.0102164083708512,0.8452500000000001,0.0117725846779711,0.8455,0.0122027148618657,0.85025,0.0110891275581084,0.8495000000000001,0.0065311752388065,0.8504999999999999,0.0109900523201666,0.8404999999999999,0.0089965271077232,0.8467499999999999,0.0115108644332213,0.8442500000000001,0.0162884161292619,0.84825,0.0127045759472718,0.8407500000000001,0.0116122241624935,0.8445,0.010062305898749,0.845,0.0130503831361381
531,50,N2,Data11_,0.8560000000000001,0.0094124252985083,0.83475,0.015647483823286,0.85375,0.008003905296791,0.85275,0.0065192024052026,0.85075,0.0085055129181019,0.8465,0.0086782774788549,0.852,0.0115447498890188,0.8525,0.0080525617042031,0.85175,0.0109900523201666,0.8425,0.0107165176246763,0.84925,0.009379165741152,0.8484999999999999,0.0105475115548645,0.85,0.0125934010497561,0.8412499999999999,0.0112499999999999,0.8462500000000001,0.0124687108395374,0.849,0.010360682892551
532,100,N2,Data11_,0.8554999999999999,0.0122027148618658,0.835,0.0154868896167048,0.8547499999999999,0.0111593570603328,0.8522500000000001,0.010658036873646,0.85175,0.0095443045844105,0.8505,0.0092533777616609,0.8539999999999999,0.0111593570603328,0.85,0.0095197163823298,0.84925,0.0090398423658822,0.843,0.0094620954338877,0.8487500000000001,0.0110750282166683,0.8487500000000001,0.0101934415189375,0.849,0.0089442719099991,0.84275,0.0092449310435502,0.85,0.0099999999999999,0.8477499999999999,0.0103983171715427
533,150,N2,Data11_,0.85725,0.0108036452181659,0.8317499999999999,0.0135669635512151,0.8552500000000001,0.0100545387760951,0.8535,0.0125747763399592,0.8515,0.0105475115548644,0.8504999999999999,0.009945162140458,0.85275,0.0095769906546889,0.85075,0.0090829510622924,0.8495000000000001,0.0094620954338877,0.8455,0.0092533777616608,0.85025,0.0096582218860409,0.84925,0.0108469465749583,0.85075,0.0084131593352319,0.842,0.0069372184627558,0.8494999999999999,0.0110609109028144,0.84925,0.0089965271077232
534,199,N2,Data11_,0.857,0.011476878931138,0.8324999999999999,0.01375,0.8564999999999999,0.0094124252985083,0.8532500000000001,0.0102164083708512,0.8522500000000001,0.0115379807592143,0.8467499999999999,0.0077862057511987,0.8522500000000001,0.0103229114110312,0.8515,0.0082632469405192,0.85025,0.0086331483249159,0.84325,0.0115447498890188,0.8487500000000001,0.0107529065838032,0.8480000000000001,0.0118123346549274,0.84925,0.010701927396502,0.8407499999999999,0.0105178419839812,0.8477499999999999,0.0103229114110312,0.8474999999999999,0.0120869247536335
1,average,N2,Data11_,0.85585,0.01051478835770656,0.8324,0.01464090292300528,0.85415,0.009399365339413579,0.8522500000000001,0.010036966472102041,0.8503000000000001,0.01038157889891244,0.84795,0.00957314759880764,0.85225,0.010738627314636021,0.85085,0.0082899302656302,0.85025,0.0098230381530038,0.8429500000000001,0.00999465356339336,0.8487500000000001,0.01047523737217714,0.8477500000000001,0.01193773008658992,0.84945,0.010671467127752179,0.8414999999999999,0.00991244313055612,0.8475999999999999,0.01078296781042638,0.8477,0.0109785670123177
540,15,Uniform,Data11_,0.83925,0.0121385233863102,0.8414999999999999,0.0189241908677755,0.8404999999999999,0.0107746809697549,0.8387499999999999,0.0143341811764746,0.8352499999999999,0.018758331482304,0.8335000000000001,0.0130024036239458,0.84175,0.0119111292495715,0.836,0.0174418677325565,0.8404999999999999,0.0066497180391352,0.8394999999999999,0.0119111292495715,0.8375,0.0158853312839235,0.841,0.0099765349696174,0.8404999999999999,0.0095443045844105,0.8365,0.0132110275906152,0.83725,0.0096985823706354,0.8422499999999999,0.0164981059518964
541,50,Uniform,Data11_,0.842,0.0160468065358811,0.84375,0.01375,0.8432499999999999,0.0101010519254184,0.84175,0.0133638972609041,0.8407500000000001,0.0121385233863101,0.84175,0.0127045759472718,0.845,0.0106800046816468,0.8425,0.0119895788082817,0.8402499999999999,0.0130324115189783,0.842,0.0137670349022583,0.8445,0.0077358742233828,0.8412499999999999,0.0124373429638327,0.84475,0.0102469507659596,0.8394999999999999,0.0120091111244755,0.8412499999999999,0.0066731739075196,0.8472500000000001,0.0120351049019108
