Dataset,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4
contraceptive_LS,0.338862559241706,0.403554502369668,0.849394418114797,0.400834671174286,0.561112496882015,0.66824644549763,0.137436120978288,0.651840330031521,0.432576823722205,0.407898894154818,0.46312255405911,0.995393589971819,0.942793573275012,0.0023696682464455,0.995403821476664,0.409820958399158,0.666454558875184,0.737890525138955,0.89175545956145
contraceptive_NL,0.274428274428274,0.357172557172557,0.744739110592769,0.32356949789587,0.537360890302067,0.751819126819127,0.16289592760181,0.635108481262327,0.386484418655944,0.350121275121275,0.427313986445734,0.993752085024819,0.924892457571045,0.00207900207900208,0.993764279137888,0.398821898821899,0.662836777122491,0.735081235824071,0.886280712372407
contraceptive_NS,0.359649122807018,0.427368421052632,0.862868710237131,0.377457254727512,0.476544622425629,0.726140350877193,0.0840905921401277,0.66309531137786,0.453023234996511,0.428304093567251,0.466385390663721,0.997081588697609,0.94135993805869,0.00175438596491228,0.997086674261279,0.450584795321637,0.666529561543412,0.744844781424017,0.891811006928593
credit-g,0.216,0.3188,0.760689655172414,0.341864718055936,0.533647058823529,0.695333333333333,0.171428571428571,0.613333333333333,0.336562984633399,0.304678571428571,0.438320110294215,0.992118702781326,0.797038986813093,0.002,0.992131904761905,0.475578947368421,0.666365818318045,0.757790270102111,0.991594630187532
diabetes,0.231770833333333,0.31328125,0.730649038461539,0.271036316586671,0.567808493589744,0.648177083333333,0.161916666666667,0.636248553240741,0.335318109304055,0.304210069444444,0.454191606345619,0.984783969859194,0.844815734107585,0.00260416666666667,0.984817669465174,0.85888671875,0.681206453928883,0.813310031550987,0.960738971499129
diabetic_retinopathy,0.337098175499566,0.39860990443093,0.775626827865542,0.402605173985696,0.4474022589053,0.676107732406603,0.0545174551126822,0.665398300071734,0.455951109133749,0.380357660005792,0.469062137919487,0.996197261638778,0.934216424431959,0.00173761946133797,0.996203843396849,0.713795783986465,0,0.711017310694134,0.935353504058683
fri_c0_250_50,0.348,0.4184,0.472592592592593,0.13093088254904,0.712,0.6984,0.0563007518796993,0.665301333333333,0.240129841903785,0.415685714285714,0.494890753973741,0.988397074190178,0.382228690285253,0.008,0.988490199858621,0.97592,0.665750969388232,0.808357593613153,0.989552692355308
glass0,0.266355140186916,0.214953271028037,0.539830885625278,0.195717227880365,0.508878504672897,0.620327102803738,0.168094496365524,0.626808746033132,0.359675303376248,0.220404984423676,0.352279496497662,0.911020782008185,0.807488914335982,0.00934579439252336,0.911816681501261,0.688992731048806,0.560534764168759,0.751584475493127,0.923554109089792
glass1,0.252336448598131,0.222429906542056,0.475159862272504,0.200369574892127,0.649065420560748,0.547507788161994,0.159555736150616,0.638687512737648,0.413028934629878,0.212227414330218,0.353488008183579,0.932054028242036,0.837729733058923,0.00934579439252336,0.932654676105135,0.748182762201454,0.645201065538309,0.79440311943959,0.956687814885154
hill_valley_without_noise_traintest,0.38036303630363,0.462211221122112,0.584394153701084,0.0244674357077799,0.528944786370529,0.522678619213273,0.00970685303824502,0.666633990131686,0.499463926504641,0.369536775106082,0.446671393411329,0.997660185047492,0.995340510780373,0.00165016501650165,0.997664045816346,0.99552805280528,0.688041442329464,0.694931355497024,0.701518749260278
