,n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_std_easy,accuracy_mean_hard,accuracy_std_hard,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split1_classic,accuracy_std_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_std_split1_classic_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split2_classic,accuracy_std_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_std_split2_classic_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme,accuracy_mean_split4_classic,accuracy_std_split4_classic,accuracy_mean_split4_classic_extreme,accuracy_std_split4_classic_extreme
828,99,Uniform,bupa,0.7074789915966386,0.0889632061884683,0.7279831932773109,0.0690293496890026,0.6989075630252101,0.0619092612786212,0.7104201680672269,0.0809995694707985,0.7161344537815126,0.0731803640034814,0.7163025210084034,0.0787091918284054,0.7161344537815126,0.0653217444771063,0.7279831932773109,0.086098851698086,0.7104201680672269,0.0783144386415147,0.724873949579832,0.0794651755232598,0.7278151260504202,0.0738693754856379,0.7308403361344538,0.0911850112390557,0.7163025210084034,0.0867752574842501,0.7247899159663865,0.070568502421697,0.7105042016806722,0.0869324921844336,0.7280672268907563,0.0864091858732336
829,109,Uniform,bupa,0.7074789915966386,0.0931846933799877,0.7280672268907563,0.0751830329686089,0.6990756302521008,0.0734422051888503,0.7133613445378152,0.0764777189603826,0.7161344537815126,0.0759757643584136,0.7192436974789916,0.075294878364171,0.7102521008403362,0.0673281217285038,0.7222689075630252,0.0921421748488705,0.7133613445378152,0.0685232731259802,0.7305882352941176,0.0723667719456486,0.7307563025210084,0.0734835925000896,0.7279831932773109,0.095336125194899,0.719327731092437,0.0876316553359824,0.7336134453781512,0.0720797472296494,0.7192436974789916,0.0857677740872394,0.7280672268907563,0.0886059530492744
830,119,Uniform,bupa,0.7015966386554622,0.0866741535010448,0.7251260504201681,0.074158784377282,0.7019327731092437,0.0773180790746108,0.7163025210084034,0.0803938160458889,0.716218487394958,0.0838139519344275,0.7278151260504202,0.0774654911667963,0.7131932773109244,0.0635293253103122,0.7134453781512604,0.0830587713838913,0.7105042016806722,0.0675880239530861,0.7278151260504202,0.0733545473078953,0.7220168067226891,0.0785910739032665,0.7279831932773109,0.095336125194899,0.7221848739495799,0.0868764695943152,0.7279831932773109,0.0770721050515954,0.7336974789915967,0.0821788304102489,0.7309243697478991,0.0885728282347236
831,129,Uniform,bupa,0.7132773109243697,0.0880040542912835,0.7164705882352942,0.0794306095148894,0.7077310924369747,0.0775751584032943,0.7221008403361344,0.0828374720733081,0.7161344537815126,0.0808780056309228,0.7364705882352942,0.0690647475075984,0.7219327731092438,0.0716117276087273,0.7221008403361344,0.0841829205801964,0.7105882352941176,0.0842110172227962,0.7394117647058824,0.0756525021736884,0.7219327731092438,0.0764397491709451,0.7309243697478991,0.0919474347217398,0.7191596638655462,0.0830349624002796,0.7221008403361344,0.071788569385242,0.7219327731092438,0.0760847944765383,0.7309243697478991,0.0885728282347236
832,139,Uniform,bupa,0.7103361344537815,0.0865741549669016,0.7310924369747899,0.0792326021265422,0.7077310924369747,0.0775751584032943,0.7250420168067226,0.0860092688717349,0.7190756302521009,0.0798029826125849,0.739327731092437,0.0673001468283757,0.7103361344537815,0.076212150896223,0.7192436974789916,0.0849589113537365,0.7077310924369747,0.0900600954857799,0.733529411764706,0.0757540743830967,0.7220168067226891,0.071026826487568,0.7308403361344538,0.093269361460031,0.7221848739495799,0.0868764695943152,0.724873949579832,0.0673285878783623,0.7336134453781512,0.0823700891081872,0.719327731092437,0.0926624869911361
833,149,Uniform,bupa,0.7190756302521009,0.0907563457481655,0.7223529411764706,0.0830740735557697,0.7018487394957983,0.0764452405635817,0.7163865546218487,0.0884987840294667,0.7189915966386555,0.0778209539373634,0.739327731092437,0.0724909190580956,0.716218487394958,0.0780774829211118,0.7192436974789916,0.090139037585666,0.7133613445378152,0.0883845165644017,0.7307563025210084,0.0836013156937125,0.7219327731092438,0.0764397491709451,0.7250420168067226,0.0935052438400305,0.7221848739495799,0.0871875006635235,0.7249579831932773,0.073628504656643,0.7277310924369748,0.0771717579902661,0.7310084033613445,0.0914834531414473
834,159,Uniform,bupa,0.716218487394958,0.0848892480503752,0.7223529411764706,0.0830740735557697,0.710672268907563,0.0916467795500767,0.7134453781512605,0.0882890770237382,0.724873949579832,0.0739041537754433,0.7365546218487395,0.068438257478271,0.716218487394958,0.0742926111437316,0.7192436974789916,0.1000203590131636,0.713529411764706,0.0789950234669997,0.733529411764706,0.0757540743830967,0.7219327731092438,0.0764397491709451,0.7192436974789916,0.0972061040752653,0.7249579831932773,0.0885686203195023,0.7191596638655462,0.0731910850502646,0.724873949579832,0.0829493069840206,0.7367226890756303,0.0880782471490677
835,169,Uniform,bupa,0.716218487394958,0.0848892480503752,0.719327731092437,0.0846615196622264,0.7019327731092437,0.0886403490067576,0.7191596638655462,0.0806195361420833,0.724873949579832,0.0739041537754433,0.7190756302521009,0.0746129843070639,0.710420168067227,0.07446893426414,0.7250420168067226,0.0904287411025762,0.7047058823529412,0.0820371620666671,0.7277310924369748,0.0787518462662034,0.7220168067226891,0.073536534268881,0.7221848739495799,0.0962079469393686,0.7192436974789916,0.0849589113537365,0.730672268907563,0.0699038114299577,0.7250420168067226,0.0813500549864842,0.7367226890756303,0.0880782471490677
836,179,Uniform,bupa,0.716218487394958,0.0848892480503752,0.719327731092437,0.0799914863377794,0.7076470588235294,0.083001552177353,0.7278151260504202,0.0774654911667963,0.724873949579832,0.081334042582119,0.7249579831932773,0.0769549409903236,0.710420168067227,0.07446893426414,0.7307563025210084,0.0884481892072759,0.7076470588235294,0.0860290170190077,0.7276470588235294,0.0727509276308235,0.7219327731092438,0.0660250293912556,0.7221848739495799,0.0962079469393686,0.7221848739495799,0.0814892108853309,0.7220168067226891,0.0736101197719057,0.7279831932773109,0.0799179349029685,0.7397478991596639,0.0860012862321923
837,189,Uniform,bupa,0.7132773109243697,0.0846641146115661,0.713529411764706,0.0826301570968531,0.7105882352941176,0.086838528877044,0.7220168067226891,0.0822440637770744,0.7220168067226891,0.0822440637770744,0.7191596638655462,0.076677877492781,0.7221008403361344,0.0769579997100373,0.7278991596638655,0.0894946366577685,0.7076470588235294,0.0893179323428364,0.7247058823529412,0.075588950233004,0.7249579831932773,0.0749947885841202,0.7250420168067226,0.0935052438400305,0.7192436974789916,0.0849589113537365,0.7249579831932773,0.0747779027060061,0.7278991596638655,0.0859609055300097,0.7397478991596639,0.0891091405000985
