dataset,n_ensemble,method_weights,compl_measure,exp_loss_avg_train_mean,misc_rate_train_mean,misc_rate_test_mean,exp_loss_avg_train_std,misc_rate_train_std,misc_rate_test_std,conf_matrix_test_total,Factor
fri_c0_250_50,49,error_w_hard,TD_U,0.3710133110211592,0.0013333333333333,0.224,0.0050460098517522,0.0021468706290651,0.0826236447190915,"[[89, 28], [28, 105]]",0.05
fri_c0_250_50,50,error_w_hard,TD_U,0.3699686877379203,0.0008888888888888,0.228,0.0044045184958376,0.0018739423171368,0.0924722180501317,"[[91, 26], [31, 102]]",0.05
fri_c0_250_50,51,error_w_hard,TD_U,0.3699686877379203,0.0008888888888888,0.2319999999999999,0.0044045184958376,0.0018739423171368,0.074951836386961,"[[89, 28], [30, 103]]",0.05
fri_c0_250_50,52,error_w_hard,TD_U,0.3710133110211592,0.0013333333333333,0.224,0.0070506697837298,0.0029997713676024,0.068507907086214,"[[90, 27], [29, 104]]",0.05
fri_c0_250_50,53,error_w_hard,TD_U,0.3710133110211592,0.0013333333333333,0.228,0.0050460098517522,0.0021468706290651,0.0844327477279336,"[[89, 28], [29, 104]]",0.05
fri_c0_250_50,54,error_w_hard,TD_U,0.3689240644546814,0.0004444444444444,0.2279999999999999,0.0033033888718782,0.0014054567378526,0.0801110340575989,"[[89, 28], [29, 104]]",0.05
fri_c0_250_50,55,error_w_hard,TD_U,0.3699686877379203,0.0008888888888888,0.2319999999999999,0.0044045184958376,0.0018739423171368,0.0880403947691689,"[[88, 29], [29, 104]]",0.05
fri_c0_250_50,56,error_w_hard,TD_U,0.3689240644546814,0.0004444444444444,0.2319999999999999,0.0033033888718782,0.0014054567378526,0.0957775199790291,"[[88, 29], [29, 104]]",0.05
fri_c0_250_50,57,error_w_hard,TD_U,0.3678794411714424,0.0,0.2319999999999999,0.0,0.0,0.0957775199790291,"[[88, 29], [29, 104]]",0.05
fri_c0_250_50,58,error_w_hard,TD_U,0.3689240644546814,0.0004444444444444,0.224,0.0033033888718782,0.0014054567378526,0.0946572765295938,"[[90, 27], [29, 104]]",0.05
fri_c0_250_50,59,error_w_hard,TD_U,0.3678794411714424,0.0,0.22,0.0,0.0,0.1002219758558193,"[[91, 26], [29, 104]]",0.05
fri_c0_250_50,60,error_w_hard,TD_U,0.3689240644546814,0.0004444444444444,0.244,0.0033033888718782,0.0014054567378526,0.1023284472231994,"[[86, 31], [30, 103]]",0.05
fri_c0_250_50,61,error_w_hard,TD_U,0.3678794411714424,0.0,0.232,0.0,0.0,0.0994205433723053,"[[88, 29], [29, 104]]",0.05
fri_c0_250_50,62,error_w_hard,TD_U,0.3689240644546814,0.0004444444444444,0.2319999999999999,0.0033033888718782,0.0014054567378526,0.0994205433723053,"[[87, 30], [28, 105]]",0.05
fri_c0_250_50,63,error_w_hard,TD_U,0.3689240644546814,0.0004444444444444,0.224,0.0033033888718782,0.0014054567378526,0.0965171257112205,"[[90, 27], [29, 104]]",0.05
fri_c0_250_50,64,error_w_hard,TD_U,0.3678794411714424,0.0,0.224,0.0,0.0,0.1069994807879406,"[[90, 27], [29, 104]]",0.05
fri_c0_250_50,65,error_w_hard,TD_U,0.3678794411714424,0.0,0.2319999999999999,0.0,0.0,0.0839047078536121,"[[91, 26], [32, 101]]",0.05
fri_c0_250_50,66,error_w_hard,TD_U,0.3678794411714424,0.0,0.224,0.0,0.0,0.1036232492145357,"[[91, 26], [30, 103]]",0.05
fri_c0_250_50,67,error_w_hard,TD_U,0.3678794411714424,0.0,0.228,0.0,0.0,0.0865126837200444,"[[90, 27], [30, 103]]",0.05
fri_c0_250_50,68,error_w_hard,TD_U,0.3678794411714424,0.0,0.22,0.0,0.0,0.0947511360236793,"[[91, 26], [29, 104]]",0.05
fri_c0_250_50,69,error_w_hard,TD_U,0.3678794411714424,0.0,0.2279999999999999,0.0,0.0,0.0885437744847146,"[[88, 29], [28, 105]]",0.05
fri_c0_250_50,70,error_w_hard,TD_U,0.3678794411714424,0.0,0.216,0.0,0.0,0.0965171257112205,"[[92, 25], [29, 104]]",0.05
fri_c0_250_50,71,error_w_hard,TD_U,0.3678794411714424,0.0,0.224,0.0,0.0,0.1001332445627658,"[[91, 26], [30, 103]]",0.05
fri_c0_250_50,72,error_w_hard,TD_U,0.3678794411714424,0.0,0.232,0.0,0.0,0.0957775199790291,"[[89, 28], [30, 103]]",0.05
fri_c0_250_50,73,error_w_hard,TD_U,0.3678794411714424,0.0,0.236,0.0,0.0,0.1023284472231994,"[[89, 28], [31, 102]]",0.05
fri_c0_250_50,74,error_w_hard,TD_U,0.3678794411714424,0.0,0.24,0.0,0.0,0.096148034012373,"[[89, 28], [32, 101]]",0.05
fri_c0_250_50,75,error_w_hard,TD_U,0.3678794411714424,0.0,0.232,0.0,0.0,0.0880403947691689,"[[90, 27], [31, 102]]",0.05
