dataset,n_ensemble,method_weights,compl_measure,exp_loss_avg_train_mean,misc_rate_train_mean,misc_rate_test_mean,exp_loss_avg_train_std,misc_rate_train_std,misc_rate_test_std,conf_matrix_test_total,Factor
bands,85,classic,none,0.7556832022491451,0.1649946252502038,0.2878378378378378,0.0231481209504761,0.0098485778757183,0.058017270198441,"[[195, 35], [70, 65]]",
bands,86,classic,none,0.764256098494571,0.1686420416635777,0.2878378378378378,0.0313813992561564,0.0133515007582897,0.0563582232011928,"[[193, 37], [68, 67]]",
bands,87,classic,none,0.7520915594877866,0.1634665282823041,0.295945945945946,0.0255428657315784,0.0108674437490915,0.0594593752000562,"[[192, 38], [70, 65]]",
bands,88,classic,none,0.7571033059971171,0.1655988212617688,0.2932432432432432,0.0244795481062886,0.0104150456273737,0.0556335068018461,"[[193, 37], [70, 65]]",
bands,89,classic,none,0.7563867199034319,0.1652939432129883,0.2932432432432432,0.0292892245631357,0.0124613660714223,0.0586346536375186,"[[190, 40], [67, 68]]",
bands,90,classic,none,0.7614050006324616,0.1674290162354511,0.2904654654654655,0.0229240714914878,0.0097532540025806,0.0541656824788134,"[[194, 36], [70, 65]]",
bands,91,classic,none,0.7535247316751571,0.164076284379865,0.2987237237237237,0.0252081484473924,0.0107250352466171,0.0593187589351636,"[[191, 39], [70, 65]]",
bands,92,classic,none,0.7585408343309538,0.1662104307213285,0.2931681681681682,0.0234302564856506,0.0099686149964685,0.0537184764652981,"[[190, 40], [67, 68]]",
bands,93,classic,none,0.756388897976665,0.1652948698939877,0.3013513513513514,0.0262594268655117,0.0111723111785193,0.0566010525929518,"[[190, 40], [70, 65]]",
bands,94,classic,none,0.7513749733941013,0.1631616502335236,0.2903153153153153,0.0206184629772461,0.008772311961885,0.0516462802066141,"[[190, 40], [66, 69]]",
bands,95,classic,none,0.753522553601924,0.1640753576988657,0.2985735735735736,0.0287391149360776,0.0122273169443309,0.0522622349413122,"[[188, 42], [67, 68]]",
bands,96,classic,none,0.7520980937074858,0.1634693083253021,0.2903153153153153,0.021002311509731,0.0089356237992797,0.0516462802066141,"[[189, 41], [65, 70]]",
bands,97,classic,none,0.7520893814145535,0.1634656016013047,0.2903153153153153,0.0310997019613546,0.0132316500908783,0.0564069282212847,"[[191, 39], [67, 68]]",
bands,98,classic,none,0.7492317493327448,0.1622497961301801,0.2876126126126126,0.0195171595271674,0.0083037524267027,0.0535716176395189,"[[192, 38], [67, 68]]",
bands,99,classic,none,0.7520937375610196,0.1634674549633034,0.2848348348348348,0.0281100890666013,0.0119596921865965,0.05342851633828,"[[192, 38], [66, 69]]",
bands,100,classic,none,0.7463762953241693,0.1610349173400548,0.295945945945946,0.0173132488609374,0.0073660786572452,0.0583140004181404,"[[190, 40], [68, 67]]",
bands,101,classic,none,0.7506605653736491,0.1628576988657424,0.2930930930930931,0.0260222018415781,0.0110713816418507,0.0622617392289957,"[[191, 39], [68, 67]]",
