year,field_goals,class
87.0,13.0,majority
87.0,6.0,majority
87.0,9.0,majority
87.0,9.0,majority
87.0,2.0,minority
87.0,9.0,majority
87.0,8.0,majority
87.0,6.0,minority
87.0,4.0,majority
87.0,9.0,majority
87.0,6.0,minority
87.0,7.0,majority
87.0,4.0,minority
87.0,0.0,minority
87.0,5.0,minority
87.0,2.0,minority
87.0,4.0,minority
87.0,3.0,minority
87.0,1.0,minority
87.0,2.0,minority
87.0,3.0,minority
87.0,12.0,majority
87.0,7.0,majority
87.0,4.0,majority
87.0,8.0,majority
87.0,9.0,majority
87.0,3.0,minority
87.0,10.0,majority
87.0,6.0,minority
87.0,8.0,majority
87.0,3.0,minority
87.0,9.0,majority
87.0,7.0,majority
87.0,9.0,majority
87.0,1.0,minority
87.0,2.0,minority
87.0,2.0,minority
87.0,0.0,minority
87.0,7.0,majority
87.0,5.0,majority
87.0,5.0,minority
87.0,4.0,minority
87.0,2.0,minority
87.0,10.0,majority
87.0,5.0,majority
87.0,1.0,minority
87.0,7.0,majority
87.0,6.0,majority
87.0,3.0,minority
87.0,0.0,minority
87.0,8.0,majority
87.0,3.0,minority
87.0,5.0,minority
87.0,0.0,minority
87.0,6.0,minority
87.0,3.0,minority
87.0,6.0,majority
87.0,3.0,minority
87.0,7.0,majority
87.0,5.0,minority
87.0,4.0,minority
87.0,1.0,minority
87.0,0.0,minority
87.0,1.0,minority
87.0,9.0,majority
87.0,5.0,minority
87.0,7.0,majority
87.0,4.0,minority
87.0,3.0,minority
87.0,4.0,minority
87.0,6.0,minority
87.0,4.0,minority
87.0,7.0,minority
87.0,6.0,minority
87.0,7.0,minority
87.0,6.0,minority
87.0,4.0,minority
87.0,8.0,majority
87.0,9.0,majority
87.0,0.0,minority
87.0,2.0,minority
87.0,3.0,minority
87.0,3.0,minority
87.0,4.0,minority
87.0,4.0,majority
87.0,2.0,minority
87.0,9.0,majority
87.0,7.0,minority
87.0,3.0,minority
87.0,5.0,minority
87.0,9.0,majority
87.0,5.0,minority
87.0,1.0,minority
87.0,0.0,minority
87.0,10.0,majority
87.0,7.0,minority
87.0,3.0,majority
87.0,3.0,minority
87.0,6.0,minority
87.0,8.0,majority
87.0,2.0,minority
87.0,5.0,majority
88.0,4.0,minority
88.0,1.0,minority
88.0,8.0,majority
88.0,7.0,minority
88.0,3.0,minority
88.0,1.0,minority
88.0,3.0,minority
88.0,2.0,minority
88.0,2.0,minority
88.0,6.0,majority
88.0,6.0,minority
88.0,4.0,minority
88.0,8.0,majority
88.0,5.0,majority
88.0,5.0,minority
88.0,1.0,minority
88.0,7.0,majority
88.0,0.0,minority
88.0,4.0,minority
88.0,3.0,minority
88.0,2.0,minority
88.0,3.0,minority
88.0,7.0,majority
88.0,9.0,majority
88.0,8.0,majority
88.0,5.0,majority
88.0,2.0,minority
88.0,9.0,majority
88.0,9.0,majority
88.0,4.0,minority
88.0,2.0,minority
88.0,7.0,majority
88.0,5.0,minority
88.0,7.0,minority
88.0,7.0,minority
88.0,7.0,minority
88.0,9.0,majority
88.0,8.0,majority
88.0,10.0,majority
88.0,10.0,majority
88.0,4.0,majority
88.0,9.0,majority
88.0,10.0,majority
88.0,9.0,majority
88.0,4.0,minority
88.0,8.0,majority
88.0,1.0,minority
88.0,9.0,majority
88.0,9.0,majority
88.0,3.0,minority
88.0,3.0,minority
88.0,3.0,minority
88.0,13.0,majority
88.0,6.0,minority
88.0,7.0,minority
88.0,4.0,minority
88.0,4.0,minority
88.0,3.0,minority
88.0,4.0,minority
88.0,9.0,minority
88.0,12.0,majority
88.0,6.0,majority
88.0,0.0,minority
88.0,2.0,minority
88.0,5.0,minority
88.0,4.0,majority
88.0,0.0,minority
88.0,10.0,majority
88.0,1.0,minority
88.0,10.0,majority
88.0,4.0,majority
88.0,6.0,majority
88.0,11.0,majority
88.0,9.0,majority
88.0,7.0,minority
88.0,13.0,majority
88.0,3.0,minority
88.0,5.0,minority
88.0,4.0,minority
88.0,7.0,majority
88.0,1.0,minority
88.0,10.0,majority
88.0,1.0,minority
88.0,5.0,minority
88.0,10.0,majority
88.0,5.0,minority
88.0,7.0,majority
88.0,5.0,minority
88.0,1.0,minority
88.0,3.0,minority
88.0,4.0,minority
88.0,6.0,majority
88.0,3.0,minority
88.0,8.0,majority
88.0,3.0,majority
88.0,9.0,majority
88.0,8.0,majority
88.0,8.0,minority
88.0,5.0,minority
