sv,ag,tl,ae,wt,bh,hl,fl,tt,sk,class
1,2,163.0,254.0,26.4,32.0,0.766,0.75,1.165,0.605,minority
1,2,164.0,251.0,26.9,32.0,0.755,0.742,1.171,0.62,minority
1,2,163.0,244.0,24.3,31.3,0.718,0.68,1.082,0.61,minority
1,2,160.0,247.0,27.0,31.5,0.764,0.732,1.177,0.617,majority
1,2,160.0,250.0,26.8,32.5,0.764,0.729,1.123,0.635,majority
1,2,158.0,247.0,24.9,32.4,0.745,0.724,1.139,0.588,minority
1,2,158.0,249.0,26.1,32.2,0.742,0.736,1.148,0.602,majority
1,2,158.0,243.0,26.6,32.4,0.747,0.711,1.163,0.612,minority
1,2,155.0,237.0,23.3,30.2,0.685,0.653,1.011,0.587,majority
2,2,160.0,249.0,24.0,30.4,0.74,0.717,1.13,0.62,majority
2,2,156.0,236.0,26.8,30.2,0.69,0.671,1.067,0.563,majority
2,2,158.0,240.0,23.5,31.0,0.715,0.702,1.113,0.595,majority
2,2,166.0,245.0,26.9,31.7,0.715,0.695,1.107,0.601,majority
2,2,165.0,255.0,28.6,31.5,0.766,0.744,1.175,0.613,minority
2,2,157.0,238.0,24.7,31.2,0.68,0.677,1.156,0.599,majority
2,2,164.0,250.0,27.3,31.8,0.764,0.726,1.171,0.588,minority
2,2,166.0,256.0,25.7,31.7,0.752,0.751,1.187,0.595,minority
2,2,167.0,255.0,29.0,32.2,0.765,0.745,1.197,0.638,minority
2,2,161.0,246.0,25.0,31.5,0.739,0.707,1.123,0.587,majority
2,2,166.0,254.0,27.5,31.4,0.76,0.742,1.124,0.604,minority
2,2,161.0,251.0,26.0,31.5,0.731,0.707,1.122,0.589,majority
