"",n_ensemble,compl_measure,winning_datasets
26,50,F1,"[steel-plates-fault, titanic, liver-disorders, credit-g, WineQualityRed_5vs6, breast-w, mammographic, phoneme, fri_c0_250_50, ilpd, Yeast_CYTvsNUC, spectfheart, banknote_authentication]"
27,100,Hostility,"[teaching_assistant_MH, saheart, titanic, teaching_assistant_LH, WineQualityRed_5vs6, spambase, parkinsons, breast-w, vehicle2, chatfield_4, phoneme, contraceptive_NL, wdbc, contraceptive_NS, ilpd, spectfheart]"
28,100,kDN,"[teaching_assistant_MH, saheart, titanic, credit-g, teaching_assistant_LH, WineQualityRed_5vs6, spambase, diabetes, parkinsons, sylvine, phoneme, contraceptive_NL, contraceptive_NS, ilpd, yeast1, contraceptive_LS]"
29,100,DCP,"[teaching_assistant_MH, saheart, titanic, spambase, parkinsons, mammographic, vehicle2, contraceptive_NL, wdbc, contraceptive_NS, fri_c0_250_50, ilpd, contraceptive_LS]"
30,100,TD_U,"[saheart, WineQualityRed_5vs6, spambase, diabetes, breast-w, contraceptive_NL, wdbc, glass0, ilpd, glass1, yeast1, Yeast_CYTvsNUC, ionosphere]"
31,100,CLD,"[teaching_assistant_MH, saheart, credit-g, teaching_assistant_LH, WineQualityRed_5vs6, spambase, diabetes, parkinsons, pima, contraceptive_NL, ilpd, glass1, spectfheart, contraceptive_LS, ionosphere]"
32,100,N1,"[teaching_assistant_MH, saheart, titanic, WineQualityRed_5vs6, spambase, diabetes, parkinsons, breast-w, vehicle2, phoneme, contraceptive_NL, wdbc, contraceptive_NS, ilpd, glass1, yeast1, Yeast_CYTvsNUC, bands, contraceptive_LS, diabetic_retinopathy]"
33,100,N2,"[vertebral_column, teaching_assistant_MH, saheart, titanic, spambase, diabetes, parkinsons, breast-w, vehicle2, contraceptive_NL, wdbc, contraceptive_NS, glass1, yeast1, bands, contraceptive_LS, diabetic_retinopathy]"
34,100,LSC,"[vertebral_column, teaching_assistant_MH, titanic, bupa, teaching_assistant_LH, spambase, parkinsons, phoneme, contraceptive_NL, contraceptive_NS, fri_c0_250_50, yeast1, Yeast_CYTvsNUC, bands, contraceptive_LS]"
35,100,F1,"[teaching_assistant_MH, bupa, teaching_assistant_LH, parkinsons, breast-w, profb, phoneme, ilpd, Yeast_CYTvsNUC, spectfheart]"
36,150,Hostility,"[saheart, titanic, sonar, teaching_assistant_LH, WineQualityRed_5vs6, parkinsons, breast-w, vehicle2, chatfield_4, contraceptive_NL, contraceptive_NS, fri_c0_250_50, teaching_assistant_LM, ilpd, yeast1, bands, spectfheart]"
37,150,kDN,"[vertebral_column, saheart, titanic, sonar, credit-g, teaching_assistant_LH, WineQualityRed_5vs6, spambase, parkinsons, sylvine, phoneme, wdbc, fri_c0_250_50, ilpd, yeast1, hill_valley_without_noise_traintest, bands, spectfheart, contraceptive_LS]"
38,150,DCP,"[teaching_assistant_MH, saheart, titanic, sonar, spambase, mammographic, vehicle2, phoneme, contraceptive_NL, contraceptive_NS, fri_c0_250_50, ilpd, glass1, contraceptive_LS, ionosphere]"
39,150,TD_U,"[titanic, sonar, credit-g, bupa, WineQualityRed_5vs6, diabetes, vehicle2, chatfield_4, contraceptive_NL, wdbc, fri_c0_250_50, ilpd, yeast1, Yeast_CYTvsNUC, spectfheart, ionosphere]"
40,150,CLD,"[titanic, liver-disorders, sonar, credit-g, teaching_assistant_LH, WineQualityRed_5vs6, spambase, diabetes, parkinsons, pima, contraceptive_NL, wdbc, fri_c0_250_50, ilpd, glass1, spectfheart, contraceptive_LS, ionosphere]"
41,150,N1,"[saheart, titanic, sonar, credit-g, WineQualityRed_5vs6, spambase, parkinsons, breast-w, vehicle2, phoneme, contraceptive_NL, wdbc, contraceptive_NS, fri_c0_250_50, ilpd, glass1, yeast1, hill_valley_without_noise_traintest, bands, contraceptive_LS, ionosphere]"
42,150,N2,"[saheart, titanic, sonar, credit-g, parkinsons, breast-w, sylvine, vehicle2, chatfield_4, contraceptive_NL, wdbc, contraceptive_NS, fri_c0_250_50, ilpd, yeast1, hill_valley_without_noise_traintest, bands, spectfheart, contraceptive_LS, diabetic_retinopathy]"
43,150,LSC,"[vertebral_column, titanic, credit-g, bupa, teaching_assistant_LH, WineQualityRed_5vs6, spambase, diabetes, sylvine, wdbc, contraceptive_NS, fri_c0_250_50, yeast1, hill_valley_without_noise_traintest, Yeast_CYTvsNUC, bands, spectfheart, contraceptive_LS]"
44,150,F1,"[vertebral_column, titanic, sonar, credit-g, teaching_assistant_LH, parkinsons, vehicle2, fri_c0_250_50, ilpd, glass1, yeast1, Yeast_CYTvsNUC, spectfheart]"
45,200,Hostility,"[saheart, titanic, sonar, teaching_assistant_LH, diabetes, parkinsons, vehicle2, chatfield_4, contraceptive_NL, wdbc, teaching_assistant_LM, ilpd, yeast1, Yeast_CYTvsNUC, bands, ionosphere]"
46,200,kDN,"[saheart, titanic, liver-disorders, sonar, credit-g, spambase, diabetes, parkinsons, sylvine, profb, chatfield_4, pima, phoneme, contraceptive_NL, wdbc, fri_c0_250_50, teaching_assistant_LM, ilpd, yeast1, hill_valley_without_noise_traintest, bands, spectfheart, contraceptive_LS, diabetic_retinopathy]"
47,200,DCP,"[saheart, titanic, liver-disorders, sonar, parkinsons, mammographic, pima, phoneme, contraceptive_NL, wdbc, fri_c0_250_50, teaching_assistant_LM, ilpd, contraceptive_LS]"
