n_ensemble,method_weights,compl_measure,exp_loss_avg_train_mean,exp_loss_avg_train_median,exp_loss_avg_train_std,misc_rate_train_mean_mean,misc_rate_train_mean_median,misc_rate_train_mean_std,misc_rate_test_mean_mean,misc_rate_test_mean_median,misc_rate_test_mean_std
29,init_easy,kDN,0.7687110183582727,0.8403845897401582,0.2642297247381978,0.1705374276995163,0.20103159830176698,0.11241893139970922,0.21549734125257117,0.2339667196246143,0.11683331004630347
29,init_hard,CLD,0.8847693032986617,0.9021792443255021,0.39971576137992737,0.21991547699358716,0.22732269420924517,0.17006269375058156,0.2671795690546806,0.26815028348209125,0.1678310108772326
29,init_hard,DCP,0.8440678370021089,0.8367713331006963,0.35717828032422716,0.2025986692347579,0.19949430551351738,0.15196473687061557,0.24803653640550447,0.2524025974025974,0.15296553626560214
29,init_hard,F1,0.7615299294240675,0.8147469779388197,0.2701682353211836,0.1674821683222093,0.19012384397850635,0.11494552455461109,0.22057624399662085,0.23347846460408464,0.12138815946666164
29,init_hard,Hostility,0.7972541245831324,0.7965471850662609,0.3249353837226722,0.1826813509610132,0.18238057713577585,0.13824670425801097,0.23505928498453388,0.23715971399049418,0.14195854034771646
29,init_hard,LSC,0.7781881136285128,0.812343073008985,0.3018542952177826,0.17456954378376552,0.18910108083682625,0.12842664594385758,0.2230931980505123,0.23419913419913416,0.12870173071862112
29,init_hard,N1,0.7731732605014816,0.7646373581608706,0.3083192183411046,0.17243592906564134,0.16880425204438815,0.13117720608551173,0.22801902962421614,0.22745728491231576,0.13732339851137546
29,init_hard,N2,0.7709044301327878,0.8017883495329639,0.28773693426090696,0.17147063462033055,0.1846104780646765,0.12242028676330584,0.22038225537516218,0.21763006459189665,0.1247590918323709
29,init_hard,TD_U,0.8026171571393934,0.8711634048577221,0.2749162856493781,0.18496310177324327,0.2141267241763978,0.11696562560363775,0.23179460566838725,0.24830305185568347,0.11840822373616844
29,init_hard,kDN,0.7951233943890272,0.830655513921701,0.32722396754480904,0.18177481248673769,0.19689227480929694,0.1392204029891367,0.23374297610737935,0.2313852813852813,0.1363720464561495
30,classic,none,0.7469056437888841,0.7559203641552763,0.2782480991607965,0.16126013344244564,0.1650955279328313,0.11838317586202704,0.21275447905037573,0.21540306426289854,0.12324713146869497
30,init_easy,CLD,0.8202931965397202,0.8540351766431815,0.28678900101567567,0.1924835329538486,0.20683936423021138,0.12201697997194184,0.22685159807070684,0.23049384825700608,0.12190993292027712
30,init_easy,DCP,0.7814051611453309,0.8061653952984655,0.27041748155376916,0.17593826580949945,0.18647273185967575,0.11505156862346225,0.22140628737447202,0.22701209609104345,0.12581131948046576
30,init_easy,F1,0.7630656708371045,0.8064368354274973,0.2800818168022559,0.16813556342652985,0.18658821852293817,0.11916334765362209,0.21859835900923053,0.22052750048933256,0.1282697762950503
30,init_easy,Hostility,0.7710607175847297,0.8104168431483071,0.26779287825793363,0.17153712853336744,0.1882815488830229,0.11393490736153072,0.21316248959390052,0.22780193236714968,0.11488413859124792
30,init_easy,LSC,0.7684518969171971,0.8356192262068618,0.2630195471328621,0.17042718213370292,0.19900413119270083,0.11190405036832451,0.2195654266602163,0.2226880122626565,0.12012021505785019
30,init_easy,N1,0.7644123709792049,0.8289121338761751,0.26549772147681533,0.16870852920863774,0.19615053796672272,0.11295841210542819,0.21292428682743958,0.22334518307672663,0.11494738484022494
30,init_easy,N2,0.7630993219805071,0.8341119865398892,0.26761551051132615,0.16814988061050856,0.19836286241458656,0.11385944464605409,0.22043425733572278,0.2217128596594245,0.1276243111461694
30,init_easy,TD_U,0.7746726110901616,0.8521448237801188,0.2794002762645822,0.17307384136388837,0.20603509647023685,0.11887338005430383,0.21922449933676108,0.2233621105471609,0.12819624381613082
30,init_easy,kDN,0.7677770983446748,0.8357687257294564,0.26174505563669004,0.1701400829645683,0.19906773711967019,0.11136180640913469,0.2153823338189804,0.22688138079725423,0.11594070932951253
30,init_hard,CLD,0.8806813178934437,0.8857958307122376,0.4015463604948127,0.21817620654894834,0.2203522223862603,0.17084153873677893,0.267222767358486,0.26921457959787476,0.16838679513286176
30,init_hard,DCP,0.8406021631901891,0.837333086464017,0.3545720422406349,0.20112416689819448,0.19973330857374194,0.15085588925469737,0.2486750656197569,0.24928514467988144,0.1520471254561682
30,init_hard,F1,0.7606684069038053,0.8136527779846661,0.2709304582357071,0.1671156257570206,0.18965830669005235,0.11526981920247477,0.22052644548325445,0.22642240431268734,0.12403446016590658
30,init_hard,Hostility,0.7946162618521526,0.7786065609943879,0.3243969756341306,0.18155904835221445,0.1747475760084341,0.13801763365654562,0.2348624859819988,0.23657852352188635,0.14380060203404219
30,init_hard,LSC,0.7758936164758832,0.7752235220824311,0.3015400459609535,0.17359332917258252,0.1733082314390725,0.1282929457491468,0.22274875898627336,0.2341905901116427,0.12834683508324496
30,init_hard,N1,0.7721562820459643,0.7565220522082863,0.3075702972920762,0.17200324636372707,0.1653515215687569,0.13085857083689262,0.2242775481116686,0.23268025566237693,0.13282117609641378
30,init_hard,N2,0.7699038718944259,0.8149788197995169,0.2893608434133911,0.17104493804863985,0.19022248319958235,0.12311119363153707,0.22033817996348046,0.22195369921224545,0.12445260481973314
30,init_hard,TD_U,0.7866450249161513,0.8663865295439832,0.2817470804850781,0.1781676133455472,0.21209435927599818,0.11987184918162809,0.2260777715099249,0.24169844946020755,0.1244509805287279
30,init_hard,kDN,0.7939027420719973,0.8199251361369155,0.3247568248420692,0.18125547489431867,0.19232693831933176,0.1381707347637794,0.2313059219977859,0.2257392607392607,0.13732046039434734
31,classic,none,0.7470166201968665,0.7512706398621898,0.278639551814677,0.16130734936112517,0.16311726058668025,0.11854972294179417,0.2136268049850979,0.21541397533763945,0.1255487914945703
31,init_easy,CLD,0.8236775573565613,0.848141708752772,0.2855736382925421,0.19392343993962505,0.20433193489713855,0.12149989288519152,0.2284583602243294,0.23309979494190014,0.12134218934008549
31,init_easy,DCP,0.7789188784284136,0.8069082030375693,0.2720471422786723,0.17488045429162294,0.18678876614517564,0.11574492255031216,0.21970984676106206,0.22701209609104345,0.12538109144058623
31,init_easy,F1,0.7676240300012286,0.8371141701597364,0.2782563770449201,0.17007495865041938,0.1996401686478022,0.1183866977628592,0.21987690294123824,0.22388888888888886,0.12619312824722487
31,init_easy,Hostility,0.770972146275711,0.8082773564374157,0.26702900732727647,0.17149944506712447,0.1873712848693106,0.1136099115502651,0.21510915138035464,0.2223333333333333,0.11578810138629876
31,init_easy,LSC,0.7646807822338438,0.8334573724645414,0.2633261900843118,0.16882272720983557,0.19808435092272958,0.11203451439146718,0.21839929240135866,0.22169667897002926,0.11852707079276145
31,init_easy,N1,0.758694280727406,0.8146749671746297,0.2690772453680057,0.16627571588155554,0.1900932063461676,0.11448135299016805,0.2091668321407071,0.2164045584045584,0.11623322507108602
31,init_easy,N2,0.7628218911061395,0.8344212692835029,0.2677690185400161,0.1680318451303422,0.19849444956123286,0.11392475602827537,0.21802962791929892,0.22840477286786004,0.1231660081874572
31,init_easy,TD_U,0.776652685918631,0.8593610310174412,0.27944061383277136,0.17391628214729582,0.2091052972479216,0.11889054203831444,0.21895597280524487,0.22195267492977416,0.12787110564114118
31,init_easy,kDN,0.7644511588711125,0.833498916773409,0.26387744000021746,0.1687250318688279,0.1981020263254999,0.11226904866478449,0.2119935348077662,0.22890090615804498,0.11714762011873787
31,init_hard,CLD,0.879194116893039,0.884944318915302,0.4005334046908038,0.21754346340315822,0.21998993897404925,0.17041056750841072,0.26500218894520416,0.26525455602114645,0.16681720490427998
31,init_hard,DCP,0.8389010519537868,0.8361261430290263,0.3551297944629825,0.20040041370359127,0.1992198035494454,0.15109318999322802,0.2484895227899024,0.25975757575757574,0.15248641870327678
31,init_hard,F1,0.7593370484801268,0.8127429463672844,0.27095463267137615,0.16654918724807447,0.18927121058161467,0.11528010443525015,0.2194236866687471,0.234489710749559,0.12331511496078475
31,init_hard,Hostility,0.7931768819025732,0.7830819949326715,0.3251102125839649,0.1809466511059538,0.17665168994334562,0.13832108678171764,0.23412153814645303,0.23653921670648959,0.14149746166405033
31,init_hard,LSC,0.77302606439441,0.7752254422203202,0.2996927861323693,0.1723733031476846,0.1733090483791418,0.1275070123112915,0.22253669829973066,0.2333719806763285,0.12777341599637143
31,init_hard,N1,0.7692005653160507,0.7502078473217092,0.3073160604054148,0.17074570989001525,0.162665085867054,0.13075040344902894,0.22570744400608042,0.22660364063417496,0.135833506819513
31,init_hard,N2,0.7671139910533055,0.8104864182900506,0.2881433151719682,0.16985795795697148,0.1883111502577151,0.12259318520540201,0.22127353004614286,0.2227294685990338,0.12723536493950494
31,init_hard,TD_U,0.797867553483929,0.8706125752000473,0.2753398239126116,0.1829423398470501,0.21389236870575412,0.11714582379673191,0.23088721196388481,0.2465419984099478,0.11929585806431109
31,init_hard,kDN,0.7932972516134561,0.8418781559510922,0.32304552489842675,0.18099786349049432,0.20166704958407175,0.13744264669132925,0.2331000769524281,0.22432067932067928,0.13914847718710888
32,classic,none,0.7437448868869665,0.7514072603347064,0.2780909130835531,0.15991536076904597,0.1631753870050568,0.11831629962071041,0.21161526705214673,0.21116990823452975,0.12275393543878145
32,init_easy,CLD,0.8166539469302679,0.8481662381505111,0.2868538081724951,0.19093518122091313,0.204342371151744,0.12204455276423049,0.22494765739905667,0.22918660287081333,0.12127759749049119
32,init_easy,DCP,0.7768044073883218,0.799970657738535,0.27055029779750733,0.17398083342179735,0.18383712461496085,0.11510807649822297,0.2197157773871835,0.22816046039730245,0.1244205496512848
32,init_easy,F1,0.7588958799436998,0.7988579451207629,0.2796776826045247,0.16636148809544724,0.1833637109459694,0.11899140509607664,0.21837112811342652,0.21677856070985835,0.1278370987876169
32,init_easy,Hostility,0.7670977828206111,0.8028289184710422,0.26833055848782955,0.16985106201745828,0.1850531975512233,0.11416366828893787,0.21344863711757733,0.22739716312056735,0.11569518981224172
32,init_easy,LSC,0.763917864507735,0.8326392235430586,0.263136370417019,0.168498136948085,0.19773626204828504,0.11195375389346929,0.21805187435636525,0.2210814056560499,0.11802800080958961
32,init_easy,N1,0.763283449421423,0.8276918639011052,0.2658864794592615,0.16822821929919932,0.1956313630451561,0.1131238127128088,0.21241349571466858,0.22115776075507615,0.11500984205771188
32,init_easy,N2,0.7599030475251507,0.8224754093696439,0.2658174246553964,0.16678999667206298,0.19341197518217784,0.11309443272058342,0.22110161267324066,0.2277290971921844,0.1276508730678266
32,init_easy,TD_U,0.767122907759229,0.8357764007417712,0.28002482260208755,0.16986175165032869,0.19907100252322674,0.11913909895455821,0.21708200487400162,0.2226572573669801,0.12844468516442098
32,init_easy,kDN,0.7643629907018344,0.8265287950478359,0.26240958007286436,0.16868751992204173,0.1951365248593375,0.11164453435383408,0.21377831364030406,0.2256577129477465,0.1155801868187745
32,init_hard,CLD,0.8753138773717623,0.8737202347878545,0.40209218037251526,0.21589258032787573,0.2152145506455851,0.17107376275112418,0.2646057710570022,0.2656453468982073,0.16755760239812362
32,init_hard,DCP,0.8376204009257368,0.8349301846897728,0.3528033443494902,0.1998555491157333,0.19871097223370054,0.15010338070522053,0.24824583163822,0.2655758714969241,0.1511218820084573
32,init_hard,F1,0.7565247482546521,0.8060076204316566,0.2704454202034979,0.1653526686261205,0.18640560511250165,0.11506345537522861,0.22021572462361275,0.23570068682630685,0.12186667552869512
32,init_hard,Hostility,0.7896335417445279,0.7781015290241673,0.3232156112462025,0.17943910491845422,0.17453270557903355,0.13751501146967343,0.23492756607396356,0.23509791488414875,0.14446549350950522
32,init_hard,LSC,0.7719901949164665,0.7832655006527252,0.30128855423954676,0.1719325830890486,0.1767297641152603,0.1281859463167232,0.2215951959524981,0.2303040822175012,0.12751612054623218
32,init_hard,N1,0.7683928408420044,0.7556249520604665,0.3087243655187354,0.17040205619122092,0.16496984217944388,0.13134957962453728,0.22314389473420917,0.22118037852618067,0.13283343701984257
32,init_hard,N2,0.7663146832350161,0.8204953536560669,0.29034173944262226,0.1695178852006585,0.19256954253137454,0.12352852473813243,0.21984591080181023,0.22909960409960406,0.12230319683973191
32,init_hard,TD_U,0.7812244590987376,0.8604576752741226,0.28137437032101614,0.17586138448587135,0.2095718744870414,0.11971327626403838,0.22253915055749685,0.2389214392363888,0.12382762367710286
32,init_hard,kDN,0.7883283405187076,0.8135563005334973,0.32318856227953996,0.1788837952264289,0.1896172594839695,0.13750350324163174,0.22935636607750726,0.22102270503033855,0.1364925146179125
33,classic,none,0.7427890907866588,0.7461612799203051,0.27909452037350707,0.15950870865471986,0.16094343708755554,0.11874329343903792,0.21379833006220075,0.21341397533763945,0.12550849037307424
33,init_easy,CLD,0.8157188071203219,0.8445734953521529,0.287748972429455,0.1905373175125524,0.2028138061631319,0.12242540851123002,0.2248062602558453,0.23114319890635676,0.12208956750062769
33,init_easy,DCP,0.7757816620286705,0.7987826767685271,0.27314749448825754,0.17354569713824738,0.18333168734326924,0.11621307737160426,0.21856471205566638,0.222587816666764,0.1251573711660508
