dataset,CV_fold,n_trees,model,parameters,perf_measure,perf_value,Conf_Matrix
saheart.csv,7,2,Incremental_Mixed_Bagging,"[[-3.0, 3.0]]",acc,0.6521739130434783,"[array([[27,  3],
       [13,  3]])]"
saheart.csv,7,2,Incremental_Mixed_Bagging,"[[-3.0, 3.0]]",f1,0.5822306238185255,"[array([[26,  4],
       [13,  3]])]"
saheart.csv,7,2,Incremental_Mixed_Bagging,"[[-3.0, 3.0]]",auc,0.46458333333333335,"[array([[26,  4],
       [15,  1]])]"
saheart.csv,8,2,base,None,acc,0.5652173913043478,"[array([[17, 13],
       [ 7,  9]])]"
saheart.csv,8,2,base,None,f1,0.5753877447241291,"[array([[17, 13],
       [ 7,  9]])]"
saheart.csv,8,2,base,None,auc,0.5645833333333333,"[array([[17, 13],
       [ 7,  9]])]"
saheart.csv,8,2,wagging,None,acc,0.6304347826086957,"[array([[28,  2],
       [15,  1]])]"
saheart.csv,8,2,wagging,None,f1,0.5369110686185387,"[array([[28,  2],
       [15,  1]])]"
saheart.csv,8,2,wagging,None,auc,0.4979166666666667,"[array([[28,  2],
       [15,  1]])]"
saheart.csv,8,2,AdaBoost,None,acc,0.5869565217391305,"[array([[19, 11],
       [ 8,  8]])]"
saheart.csv,8,2,AdaBoost,None,f1,0.5937888198757765,"[array([[19, 11],
       [ 8,  8]])]"
saheart.csv,8,2,AdaBoost,None,auc,0.5666666666666667,"[array([[19, 11],
       [ 8,  8]])]"
saheart.csv,8,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 2.0]",acc,0.717391304347826,"[array([[28,  2],
       [11,  5]])]"
saheart.csv,8,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 2.0]",f1,0.5913921193692988,"[array([[29,  1],
       [14,  2]])]"
saheart.csv,8,2,Grouped_Mixed_Bagging,"[[0.1, 0.7, 0.2], 1.0]",auc,0.50625,"[array([[21,  9],
       [11,  5]])]"
saheart.csv,8,2,Incremental_Mixed_Bagging,"[[-3.0, 3.0]]",acc,0.6086956521739131,"[array([[25,  5],
       [13,  3]])]"
saheart.csv,8,2,Incremental_Mixed_Bagging,"[[-1.0, 1.0]]",f1,0.6452952628163531,"[array([[26,  4],
       [11,  5]])]"
saheart.csv,8,2,Incremental_Mixed_Bagging,"[[-1.0, 1.0]]",auc,0.575,"[array([[27,  3],
       [12,  4]])]"
saheart.csv,9,2,base,None,acc,0.6521739130434783,"[array([[23,  7],
       [ 9,  7]])]"
saheart.csv,9,2,base,None,f1,0.6461898083216456,"[array([[23,  7],
       [ 9,  7]])]"
saheart.csv,9,2,base,None,auc,0.6020833333333333,"[array([[23,  7],
       [ 9,  7]])]"
saheart.csv,9,2,wagging,None,acc,0.5869565217391305,"[array([[23,  7],
       [12,  4]])]"
saheart.csv,9,2,wagging,None,f1,0.5645980428589125,"[array([[23,  7],
       [12,  4]])]"
saheart.csv,9,2,wagging,None,auc,0.5083333333333333,"[array([[23,  7],
       [12,  4]])]"
saheart.csv,9,2,AdaBoost,None,acc,0.6304347826086957,"[array([[22,  8],
       [ 9,  7]])]"
saheart.csv,9,2,AdaBoost,None,f1,0.627503276389304,"[array([[22,  8],
       [ 9,  7]])]"
saheart.csv,9,2,AdaBoost,None,auc,0.5854166666666667,"[array([[22,  8],
       [ 9,  7]])]"
saheart.csv,9,2,Grouped_Mixed_Bagging,"[[0.3, 0.7, 0.0], 2.0]",acc,0.6086956521739131,"[array([[25,  5],
       [13,  3]])]"
saheart.csv,9,2,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 2.0]",f1,0.715149564297703,"[array([[24,  6],
       [ 7,  9]])]"
saheart.csv,9,2,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 2.0]",auc,0.6020833333333333,"[array([[23,  7],
       [ 9,  7]])]"
saheart.csv,9,2,Incremental_Mixed_Bagging,"[[-4.0, 4.0]]",acc,0.5652173913043478,"[array([[24,  6],
       [14,  2]])]"
saheart.csv,9,2,Incremental_Mixed_Bagging,"[[-4.0, 4.0]]",f1,0.6452952628163531,"[array([[26,  4],
       [11,  5]])]"
saheart.csv,9,2,Incremental_Mixed_Bagging,"[[-4.0, 4.0]]",auc,0.5875,"[array([[24,  6],
       [10,  6]])]"
saheart.csv,0,10,base,None,acc,0.6382978723404256,"[array([[22,  9],
       [ 8,  8]])]"
saheart.csv,0,10,base,None,f1,0.6408134360698016,"[array([[22,  9],
       [ 8,  8]])]"
saheart.csv,0,10,base,None,auc,0.6048387096774194,"[array([[22,  9],
       [ 8,  8]])]"
saheart.csv,0,10,wagging,None,acc,0.6382978723404256,"[array([[22,  9],
       [ 8,  8]])]"
saheart.csv,0,10,wagging,None,f1,0.6408134360698016,"[array([[22,  9],
       [ 8,  8]])]"
