,Dataset,alpha,split,weights,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std,Table
48125,contraceptive_LS,4,1,F1,0.624719150818222,0.624327731092437,0.0057265797856686,0.625 (0.006)
6231,contraceptive_LS,2,1,Hostility,0.630451864956509,0.6315266106442576,0.0054839555967395,0.63 (0.005)
4387,contraceptive_LS,6,1,LSC,0.6321266401297361,0.6326050420168068,0.0046831918894135,0.632 (0.005)
50369,contraceptive_LS,6,4,N1,0.6358410732714138,0.6374089635854341,0.0058464670822841,0.636 (0.006)
4389,contraceptive_LS,6,1,N2,0.6305226301046735,0.6302240896358543,0.0052165182298371,0.631 (0.005)
8692,contraceptive_LS,8,8,TD_U,0.6252233524988943,0.624313725490196,0.0042710082788063,0.625 (0.004)
48131,contraceptive_LS,4,1,kDN,0.6286421937195931,0.6302801120448179,0.0074140105810979,0.629 (0.007)
16308,contraceptive_NL,8,2,CLD,0.7446667570989329,0.7463487972508591,0.0053476125318523,0.745 (0.005)
23455,contraceptive_NL,4,2,DCP,0.7481099656357388,0.7484536082474227,0.0031696435629484,0.748 (0.003)
61346,contraceptive_NL,4,1,F1,0.7371360101284138,0.7390571305841924,0.0037832485237605,0.737 (0.004)
26067,contraceptive_NL,2,1,Hostility,0.7462515825646591,0.7463595360824742,0.0062501275952931,0.746 (0.006)
28102,contraceptive_NL,2,2,LSC,0.7396228974498101,0.7391000859106529,0.0030067664264655,0.74 (0.003)
32639,contraceptive_NL,6,8,N1,0.738024507144149,0.7391430412371134,0.0051238999174567,0.738 (0.005)
42387,contraceptive_NL,10,1,N2,0.743004499005245,0.7432237972508591,0.0032136975406623,0.743 (0.003)
22192,contraceptive_NL,8,8,TD_U,0.7382652830529933,0.7380476804123711,0.0043525338760513,0.738 (0.004)
47780,contraceptive_NL,4,6,kDN,0.7412252441671189,0.7401739690721649,0.0033058452274451,0.741 (0.003)
57366,contraceptive_NS,8,6,CLD,0.6611265004616805,0.6622807017543859,0.0047693332968045,0.661 (0.005)
25777,contraceptive_NS,4,1,DCP,0.66398891966759,0.6631578947368422,0.0039497900760018,0.664 (0.004)
