Dataset,n_trees,model,accuracy_mean,accuracy_std
WineQualityRed_5vs6,230,Incremental_Mixed_Bagging,0.7938179504973398,0.0447215978034265
WineQualityRed_5vs6,235,Grouped_Mixed_Bagging,0.7877573444367337,0.0391030158031193
WineQualityRed_5vs6,235,Incremental_Mixed_Bagging,0.796090677770067,0.0442482703468703
WineQualityRed_5vs6,240,Grouped_Mixed_Bagging,0.8006650474207726,0.0434165305305263
WineQualityRed_5vs6,240,Incremental_Mixed_Bagging,0.7915567892667129,0.0410346374147444
WineQualityRed_5vs6,245,Grouped_Mixed_Bagging,0.7945928753180661,0.0419842677196838
WineQualityRed_5vs6,245,Incremental_Mixed_Bagging,0.79382373351839,0.0368913816026553
WineQualityRed_5vs6,250,Grouped_Mixed_Bagging,0.7945813092759658,0.0424627830339157
WineQualityRed_5vs6,250,Incremental_Mixed_Bagging,0.7900358547305112,0.0377750965227946
WineQualityRed_5vs6,255,Grouped_Mixed_Bagging,0.78852648623641,0.0515261211504571
WineQualityRed_5vs6,255,Incremental_Mixed_Bagging,0.7915394402035624,0.0357729500001539
WineQualityRed_5vs6,260,Grouped_Mixed_Bagging,0.7885033541522091,0.0408128882284532
WineQualityRed_5vs6,260,Incremental_Mixed_Bagging,0.8006419153365718,0.0371304284645995
WineQualityRed_5vs6,265,Grouped_Mixed_Bagging,0.7877457783946333,0.0441935077598801
WineQualityRed_5vs6,265,Incremental_Mixed_Bagging,0.7907760814249364,0.0345149900341254
WineQualityRed_5vs6,270,Grouped_Mixed_Bagging,0.7945813092759657,0.03577963271261
WineQualityRed_5vs6,270,Incremental_Mixed_Bagging,0.7968482535276429,0.0413219275506177
WineQualityRed_5vs6,275,Grouped_Mixed_Bagging,0.7915510062456627,0.0410484362565943
WineQualityRed_5vs6,275,Incremental_Mixed_Bagging,0.7900474207726116,0.0412978274828342
WineQualityRed_5vs6,280,Grouped_Mixed_Bagging,0.7945813092759658,0.0448012137459111
WineQualityRed_5vs6,280,Incremental_Mixed_Bagging,0.796854036548693,0.0429697256058843
WineQualityRed_5vs6,285,Grouped_Mixed_Bagging,0.7877689104788341,0.042361684685051
WineQualityRed_5vs6,285,Incremental_Mixed_Bagging,0.790793430488087,0.0366031296132816
WineQualityRed_5vs6,290,Grouped_Mixed_Bagging,0.7892840619939856,0.0426361246840042
WineQualityRed_5vs6,290,Incremental_Mixed_Bagging,0.7953388850335414,0.0438757501763798
