dataset,CV_fold,n_trees,model,parameters,perf_measure,perf_value,Conf_Matrix
pima.csv,1,10,Incremental_Mixed_Bagging,"[[-3.0, 2.0]]",f1,0.7465323791854402,"[array([[43,  7],
       [12, 15]])]"
pima.csv,1,10,Incremental_Mixed_Bagging,"[[-3.0, 2.0]]",auc,0.7648148148148148,"[array([[45,  5],
       [10, 17]])]"
pima.csv,2,10,base,None,acc,0.6363636363636364,"[array([[39, 11],
       [17, 10]])]"
pima.csv,2,10,base,None,f1,0.6239279588336192,"[array([[39, 11],
       [17, 10]])]"
pima.csv,2,10,base,None,auc,0.5751851851851851,"[array([[39, 11],
       [17, 10]])]"
pima.csv,2,10,wagging,None,acc,0.6493506493506493,"[array([[40, 10],
       [17, 10]])]"
pima.csv,2,10,wagging,None,f1,0.6347083022366379,"[array([[40, 10],
       [17, 10]])]"
pima.csv,2,10,wagging,None,auc,0.5851851851851853,"[array([[40, 10],
       [17, 10]])]"
pima.csv,2,10,AdaBoost,None,acc,0.6883116883116883,"[array([[41,  9],
       [15, 12]])]"
pima.csv,2,10,AdaBoost,None,f1,0.6776525361431022,"[array([[41,  9],
       [15, 12]])]"
pima.csv,2,10,AdaBoost,None,auc,0.6322222222222222,"[array([[41,  9],
       [15, 12]])]"
pima.csv,2,10,Grouped_Mixed_Bagging,"[[0.4, 0.4, 0.2], 3.0]",acc,0.7922077922077922,"[array([[45,  5],
       [11, 16]])]"
pima.csv,2,10,Grouped_Mixed_Bagging,"[[0.4, 0.4, 0.2], 3.0]",f1,0.7818349122696949,"[array([[46,  4],
       [12, 15]])]"
pima.csv,2,10,Grouped_Mixed_Bagging,"[[0.0, 0.8, 0.2], 3.0]",auc,0.7277777777777779,"[array([[45,  5],
       [12, 15]])]"
pima.csv,2,10,Incremental_Mixed_Bagging,"[[-5.0, 5.0]]",acc,0.7792207792207793,"[array([[43,  7],
       [10, 17]])]"
pima.csv,2,10,Incremental_Mixed_Bagging,"[[-5.0, 5.0]]",f1,0.809105548235983,"[array([[47,  3],
       [11, 16]])]"
pima.csv,2,10,Incremental_Mixed_Bagging,"[[-5.0, 5.0]]",auc,0.7262962962962962,"[array([[43,  7],
       [11, 16]])]"
