Dataset,alpha,split,weights,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std,Table
contraceptive_NS,8,6,CLD,0.661126500461681,0.662280701754386,0.0047693332968045,0.661 (0.005)
contraceptive_NS,4,1,DCP,0.66398891966759,0.663157894736842,0.0039497900760018,0.664 (0.004)
contraceptive_NS,4,1,F1,0.664727608494921,0.66578947368421,0.0042025890441432,0.665 (0.004)
contraceptive_NS,8,1,Hostility,0.667590027700831,0.66578947368421,0.0059957470721269,0.668 (0.006)
contraceptive_NS,6,8,LSC,0.65544783010157,0.656140350877193,0.0057191887252607,0.655 (0.006)
contraceptive_NS,2,1,N1,0.657710064635272,0.657017543859649,0.003885468171583,0.658 (0.004)
contraceptive_NS,4,8,N2,0.655909510618652,0.657017543859649,0.0032407648467766,0.656 (0.003)
contraceptive_NS,4,8,TD_U,0.657202216066482,0.657894736842105,0.0035158183068401,0.657 (0.004)
contraceptive_NS,2,1,kDN,0.66061865189289,0.66140350877193,0.0032282441373227,0.661 (0.003)
credit-g,2,2,CLD,0.772842105263158,0.773,0.0066270754224598,0.773 (0.007)
credit-g,6,8,DCP,0.774631578947368,0.775,0.0060111981271603,0.775 (0.006)
credit-g,2,8,F1,0.764947368421053,0.767,0.0054106241600365,0.765 (0.005)
credit-g,4,6,Hostility,0.770421052631579,0.771,0.0050587195291747,0.77 (0.005)
credit-g,2,2,LSC,0.760315789473684,0.761,0.0049447236927517,0.76 (0.005)
credit-g,4,8,N1,0.769684210526316,0.77,0.0036370414041414,0.77 (0.004)
credit-g,10,2,N2,0.767842105263158,0.767,0.0071279041480549,0.768 (0.007)
credit-g,6,1,TD_U,0.771894736842105,0.772,0.0029607569760695,0.772 (0.003)
credit-g,6,2,kDN,0.771578947368421,0.773,0.0039765393870897,0.772 (0.004)
diabetes,4,6,CLD,0.775665539446703,0.77852016404648,0.0071129184234307,0.776 (0.007)
diabetes,4,4,DCP,0.761525524337159,0.762952836637047,0.0034667867929188,0.762 (0.003)
diabetes,2,4,F1,0.76601431809188,0.766831852358168,0.0063516574093043,0.766 (0.006)
diabetes,6,8,Hostility,0.764599597078822,0.764251537935748,0.0045658134412604,0.765 (0.005)
diabetes,4,8,LSC,0.768724142893118,0.769463431305537,0.0039361982140404,0.769 (0.004)
diabetes,2,2,N1,0.767984854480699,0.769395078605605,0.0038929521698538,0.768 (0.004)
diabetes,2,6,N2,0.769324027772781,0.769463431305536,0.0043878222594281,0.769 (0.004)
diabetes,10,8,TD_U,0.76660970608339,0.766866028708134,0.0050460293774509,0.767 (0.005)
diabetes,4,4,kDN,0.767772601359859,0.768181818181818,0.0047649101661153,0.768 (0.005)
diabetic_retinopathy,10,1,CLD,0.69591533180778,0.696799100449775,0.0088871240355493,0.696 (0.009)
diabetic_retinopathy,6,6,DCP,0.684320997396039,0.684580209895053,0.0044063873660859,0.684 (0.004)
diabetic_retinopathy,6,8,F1,0.682394460664405,0.681979010494753,0.0071956110554294,0.682 (0.007)
diabetic_retinopathy,4,1,Hostility,0.705549593624241,0.706334332833583,0.0050955952789078,0.706 (0.005)
diabetic_retinopathy,6,4,LSC,0.692454036139825,0.695862068965517,0.0075996484931808,0.692 (0.008)
diabetic_retinopathy,2,8,N1,0.692197585417817,0.694160419790105,0.007287254492652,0.692 (0.007)
diabetic_retinopathy,4,8,N2,0.689807464688708,0.690674662668666,0.0056887744799144,0.69 (0.006)
diabetic_retinopathy,4,6,TD_U,0.683062021620769,0.683740629685157,0.0065989176727514,0.683 (0.007)
diabetic_retinopathy,6,1,kDN,0.695531050264342,0.695899550224887,0.0047184505987389,0.696 (0.005)
fri_c0_250_50,6,8,CLD,0.783789473684211,0.784,0.0127522501167807,0.784 (0.013)
fri_c0_250_50,2,6,DCP,0.765894736842105,0.764,0.0118785274846959,0.766 (0.012)
fri_c0_250_50,2,1,F1,0.770315789473684,0.772,0.0132205758471782,0.77 (0.013)
fri_c0_250_50,8,4,Hostility,0.793263157894737,0.796,0.0108363693451632,0.793 (0.011)
fri_c0_250_50,4,2,LSC,0.789052631578947,0.792,0.0087271841214711,0.789 (0.009)
fri_c0_250_50,10,1,N1,0.783368421052632,0.784,0.009166427429095,0.783 (0.009)
fri_c0_250_50,10,1,N2,0.803578947368421,0.812,0.0242906378615156,0.804 (0.024)
fri_c0_250_50,2,6,TD_U,0.798736842105263,0.804,0.0141139887474297,0.799 (0.014)
fri_c0_250_50,10,2,kDN,0.782105263157895,0.78,0.0053943873799235,0.782 (0.005)
glass0,2,2,CLD,0.879858737753474,0.878571428571429,0.0065579111999203,0.88 (0.007)
glass0,8,8,DCP,0.878719526087947,0.883116883116883,0.0085837522218819,0.879 (0.009)
glass0,4,2,F1,0.890533151059467,0.892424242424242,0.0091976039542294,0.891 (0.009)
glass0,2,2,Hostility,0.882581453634085,0.883333333333333,0.0056963697036484,0.883 (0.006)
glass0,4,8,LSC,0.88049669628617,0.883549783549783,0.0050684564174619,0.88 (0.005)
glass0,4,4,N1,0.877739804055593,0.878571428571429,0.0054925415450548,0.878 (0.005)
glass0,4,2,N2,0.87924356345409,0.878571428571429,0.0038306828654281,0.879 (0.004)
glass0,8,8,TD_U,0.889029391660971,0.887662337662337,0.0091397519281257,0.889 (0.009)
glass0,6,6,kDN,0.879197994987469,0.878787878787879,0.0050746150642828,0.879 (0.005)
glass1,10,6,CLD,0.830884028252449,0.831385281385281,0.0086712418805455,0.831 (0.009)
glass1,4,8,DCP,0.825131009341536,0.826623376623377,0.0072810450902956,0.825 (0.007)
glass1,10,1,F1,0.815516062884484,0.817965367965368,0.0052842491346152,0.816 (0.005)
glass1,10,4,Hostility,0.828081567555252,0.831385281385281,0.0110485867796302,0.828 (0.011)
glass1,10,6,LSC,0.830565048986102,0.831818181818182,0.0059939207959468,0.831 (0.006)
glass1,8,6,N1,0.810765550239234,0.808225108225108,0.0099827758920619,0.811 (0.01)
glass1,4,1,N2,0.819924812030075,0.822077922077922,0.0061074401867966,0.82 (0.006)
glass1,10,4,TD_U,0.819491911597175,0.822077922077922,0.0103518316883736,0.819 (0.01)
glass1,8,2,kDN,0.825404420141262,0.827056277056277,0.0034746163304646,0.825 (0.003)
hill_valley_without_noise_traintest,6,4,CLD,0.640245937292764,0.642622950819672,0.0070533019030425,0.64 (0.007)
hill_valley_without_noise_traintest,4,8,DCP,0.641860324160897,0.644289391681344,0.0072212399619465,0.642 (0.007)
hill_valley_without_noise_traintest,10,1,F1,0.63780653028045,0.640150386126541,0.0066711986792841,0.638 (0.007)
hill_valley_without_noise_traintest,8,6,Hostility,0.643637647159492,0.645102289662647,0.0049353846918554,0.644 (0.005)
hill_valley_without_noise_traintest,2,8,LSC,0.637269946305949,0.637718466332475,0.00411469280428,0.637 (0.004)
hill_valley_without_noise_traintest,8,2,N1,0.641540156447208,0.643429074651131,0.0053868512367311,0.642 (0.005)
hill_valley_without_noise_traintest,4,6,N2,0.641551922075885,0.641857471887278,0.0029815853582258,0.642 (0.003)
hill_valley_without_noise_traintest,10,8,TD_U,0.641046356576986,0.642650047419049,0.00594755004216,0.641 (0.006)
hill_valley_without_noise_traintest,2,2,kDN,0.640203509722688,0.639344262295082,0.0035772423689227,0.64 (0.004)
ilpd,8,1,CLD,0.729815009392811,0.732335148215366,0.0066824963168915,0.73 (0.007)
ilpd,10,1,DCP,0.729128856624319,0.728826376285541,0.004013741741661,0.729 (0.004)
ilpd,10,2,F1,0.729198904702773,0.728826376285541,0.0055978847572099,0.729 (0.006)
ilpd,10,4,Hostility,0.724744483713822,0.725378100423472,0.0064679453639874,0.725 (0.006)
ilpd,8,4,LSC,0.728312159709619,0.728765880217786,0.0036776766537854,0.728 (0.004)
ilpd,6,6,N1,0.720298022733785,0.720205686630369,0.0074078147467342,0.72 (0.007)
ilpd,2,4,N2,0.722557073263922,0.725317604355717,0.0089246557385899,0.723 (0.009)
ilpd,4,1,TD_U,0.72449772343745,0.725287356321839,0.0057804520767257,0.724 (0.006)
ilpd,2,8,kDN,0.723318050116216,0.723563218390805,0.0060510929035742,0.723 (0.006)
ionosphere,6,8,CLD,0.926445279866332,0.928650793650794,0.0044257115723517,0.926 (0.004)
ionosphere,8,8,DCP,0.924928989139515,0.925793650793651,0.0036605473893445,0.925 (0.004)
ionosphere,4,1,F1,0.926332497911445,0.925873015873016,0.0023713178005726,0.926 (0.002)
ionosphere,4,1,Hostility,0.925735171261487,0.925952380952381,0.0056527676551082,0.926 (0.006)
ionosphere,2,1,LSC,0.929085213032581,0.928650793650794,0.002535734423064,0.929 (0.003)
ionosphere,6,8,N1,0.92796574770259,0.928730158730159,0.0039029198819734,0.928 (0.004)
