"","X","valores_combo","niveles","valor_split","num_models","num_models2","niveles_mediana","niveles_std"
"15",15,"alpha10-split6","9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,117,130,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24"
"16",16,"alpha10-split8","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,85,102,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
"17",17,"alpha12-split1","19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,57,60,"17, 19, 25, 31, 32, 33, 35, 36, 37, 39, 40, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 18, 20, 21, 22, 23, 24, 26, 27, 28, 29, 30, 34, 38, 41, 43, 100","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100"
"18",18,"alpha12-split10","7, 8, 9, 10, 11, 12, 13, 14, 15",10,147,168,"6, 8, 9, 10, 11, 12, 13, 14, 7, 15","7, 9, 10, 11, 12, 13, 14, 8, 15"
"19",19,"alpha12-split12","6, 7, 8, 9, 10, 11, 12",12,150,175,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","5, 6, 7, 8, 9, 10, 11, 12"
"20",20,"alpha12-split14","6, 7, 8, 9, 10, 11",14,174,203,"4, 6, 7, 8, 9, 10, 5, 11","3, 4, 5, 6, 7, 8, 9, 10, 11"
"21",21,"alpha12-split16","6, 7, 8, 9, 10",16,198,231,"3, 4, 5, 6, 7, 8, 9, 10","4, 5, 6, 7, 8, 9, 10"
"22",22,"alpha12-split18","5, 6, 7, 8, 9",18,185,222,"3, 4, 5, 6, 7, 8, 9","3, 6, 7, 8, 4, 5, 9"
"23",23,"alpha12-split2","21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,105,110,"15, 16, 17, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 18, 23, 60","6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 7, 8, 60"
"24",24,"alpha12-split20","3, 4, 5, 6, 7, 8",20,123,164,"3, 5, 6, 7, 4, 8","6, 7, 8"
"25",25,"alpha12-split22","3, 4, 5, 6, 7",22,135,180,"3, 4, 5, 6, 7","2, 4, 5, 6, 3, 7"
"26",26,"alpha12-split24","3, 4, 5, 6, 7",24,147,196,"2, 3, 4, 5, 6, 7","5, 6, 7"
"27",27,"alpha12-split26","4, 5, 6",26,212,265,"4, 5, 6","4, 5, 6"
"28",28,"alpha12-split28","4, 5, 6",28,228,285,"3, 4, 5, 6","3, 4, 5, 6"
"29",29,"alpha12-split30","3, 4, 5",30,183,244,"3, 4, 5","2, 3, 4, 5"
"30",30,"alpha12-split4","16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,144,153,"7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34"
"31",31,"alpha12-split6","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,91,104,"8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24"
"32",32,"alpha12-split8","9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,153,170,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
"33",33,"alpha14-split1","27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,81,84,"27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100"
"34",34,"alpha14-split10","9, 10, 11, 12, 13, 14, 15",10,189,210,"4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 6, 15","3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 8, 15"
"35",35,"alpha14-split12","5, 6, 7, 8, 9, 10, 11, 12",12,125,150,"5, 6, 7, 8, 9, 10, 11, 12","5, 6, 7, 8, 9, 10, 11, 12"
"36",36,"alpha14-split14","5, 6, 7, 8, 9, 10, 11",14,145,174,"3, 5, 6, 7, 8, 9, 10, 4, 11","5, 6, 7, 8, 9, 10, 11"
"37",37,"alpha14-split16","4, 5, 6, 7, 8, 9, 10",16,132,165,"3, 4, 5, 6, 7, 8, 9, 10","3, 4, 5, 6, 7, 8, 9, 10"
"38",38,"alpha14-split18","4, 5, 6, 7, 8, 9",18,148,185,"2, 3, 4, 5, 6, 7, 8, 9","3, 4, 5, 6, 7, 8, 9"
"39",39,"alpha14-split2","21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,105,110,"9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 12, 22, 60","6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 16, 60"
"40",40,"alpha14-split20","4, 5, 6, 7, 8",20,164,205,"3, 4, 5, 6, 7, 8","2, 3, 4, 5, 6, 7, 8"
"41",41,"alpha14-split22","4, 5, 6, 7",22,180,225,"3, 4, 5, 6, 7","3, 5, 6, 4, 7"
"42",42,"alpha14-split24","3, 4, 5, 6, 7",24,147,196,"2, 3, 4, 5, 6, 7","3, 4, 5, 6, 7"
"43",43,"alpha14-split26","4, 5, 6",26,212,265,"3, 4, 5, 6","2, 3, 4, 5, 6"
"44",44,"alpha14-split28","2, 3, 4, 5, 6",28,114,171,"2, 3, 4, 5, 6","2, 4, 5, 3, 6"
"45",45,"alpha14-split30","2, 3, 4, 5",30,122,183,"2, 3, 4, 5","4, 5"
"46",46,"alpha14-split4","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,99,108,"6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 8, 9, 34","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34"
"47",47,"alpha14-split6","13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,169,182,"7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 7, 24"
"48",48,"alpha14-split8","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,119,136,"6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 10, 18","2, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 3, 4, 5, 18"
"49",49,"alpha16-split1","26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,78,81,"13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100","3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100"
"50",50,"alpha16-split10","6, 7, 8, 9, 10, 11, 12, 13, 14, 15",10,126,147,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15","3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15"
"51",51,"alpha16-split12","5, 6, 7, 8, 9, 10, 11, 12",12,125,150,"3, 5, 6, 7, 8, 9, 10, 11, 4, 12","3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
"52",52,"alpha16-split14","3, 4, 5, 6, 7, 8, 9, 10, 11",14,87,116,"3, 4, 5, 6, 7, 8, 9, 10, 11","5, 6, 7, 8, 9, 10, 11"
"53",53,"alpha16-split16","5, 6, 7, 8, 9, 10",16,165,198,"5, 6, 7, 8, 9, 10","3, 4, 5, 6, 7, 8, 9, 10"
"54",54,"alpha16-split18","3, 4, 5, 6, 7, 8, 9",18,111,148,"3, 4, 5, 6, 7, 8, 9","5, 6, 7, 8, 9"
"55",55,"alpha16-split2","17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,85,90,"12, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 13, 14, 17, 60","7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 8, 60"
"56",56,"alpha16-split20","4, 5, 6, 7, 8",20,164,205,"3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7, 8"
"57",57,"alpha16-split22","4, 5, 6, 7",22,180,225,"4, 5, 6, 7","2, 3, 4, 5, 6, 7"
"58",58,"alpha16-split24","6, 7",24,294,343,"3, 4, 5, 6, 7","3, 5, 6, 4, 7"
"59",59,"alpha16-split26","2, 3, 4, 5, 6",26,106,159,"2, 3, 4, 5, 6","2, 3, 4, 5, 6"
"60",60,"alpha16-split28","4, 5, 6",28,228,285,"2, 3, 4, 5, 6","2, 3, 4, 5, 6"
"61",61,"alpha16-split30","3, 4, 5",30,183,244,"2, 4, 3, 5","3, 4, 5"
"62",62,"alpha16-split4","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,99,108,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34","6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34"
"63",63,"alpha16-split6","12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,156,169,"3, 6, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 4, 5, 7, 9, 10, 24","5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 6, 24"
"64",64,"alpha16-split8","9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,153,170,"5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 7, 18","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
"65",65,"alpha18-split1","25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,75,78,"19, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 20, 21, 100","3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 4, 100"
"66",66,"alpha18-split10","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15",10,105,126,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15","7, 8, 9, 10, 11, 12, 13, 14, 15"
"67",67,"alpha18-split12","6, 7, 8, 9, 10, 11, 12",12,150,175,"5, 6, 7, 8, 9, 10, 11, 12","3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
"68",68,"alpha18-split14","4, 5, 6, 7, 8, 9, 10, 11",14,116,145,"4, 5, 6, 7, 8, 9, 10, 11","5, 6, 7, 8, 9, 10, 11"
"69",69,"alpha18-split16","5, 6, 7, 8, 9, 10",16,165,198,"3, 5, 6, 7, 8, 9, 4, 10","4, 5, 6, 7, 8, 9, 10"
"70",70,"alpha18-split18","5, 6, 7, 8, 9",18,185,222,"4, 5, 6, 7, 8, 9","4, 5, 6, 7, 8, 9"
"71",71,"alpha18-split2","19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60",2,95,100,"13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 22, 60","5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60"
"72",72,"alpha18-split20","3, 4, 5, 6, 7, 8",20,123,164,"3, 4, 5, 6, 7, 8","2, 3, 4, 5, 6, 7, 8"
"73",73,"alpha18-split22","3, 4, 5, 6, 7",22,135,180,"3, 4, 5, 6, 7","3, 4, 5, 6, 7"
"74",74,"alpha18-split24","4, 5, 6, 7",24,196,245,"2, 3, 4, 5, 6, 7","3, 4, 5, 6, 7"
"75",75,"alpha18-split26","3, 4, 5, 6",26,159,212,"3, 4, 5, 6","3, 4, 5, 6"
"76",76,"alpha18-split28","3, 4, 5, 6",28,171,228,"3, 4, 5, 6","3, 4, 5, 6"
"77",77,"alpha18-split30","3, 4, 5",30,183,244,"3, 4, 5","2, 4, 3, 5"
"78",78,"alpha18-split4","13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",4,117,126,"7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 9, 34","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34"
"79",79,"alpha18-split6","12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",6,156,169,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 5, 24"
"80",80,"alpha18-split8","7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18",8,119,136,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18"
