dataset,CV_fold,n_trees,model,parameters,perf_measure,perf_value,Conf_Matrix
bands.csv,5,2,wagging,None,auc,0.6923076923076923,"[array([[23,  0],
       [ 8,  5]])]"
bands.csv,5,2,AdaBoost,None,acc,0.7222222222222222,"[array([[17,  6],
       [ 4,  9]])]"
bands.csv,5,2,AdaBoost,None,f1,0.7258297258297258,"[array([[17,  6],
       [ 4,  9]])]"
bands.csv,5,2,AdaBoost,None,auc,0.7157190635451505,"[array([[17,  6],
       [ 4,  9]])]"
bands.csv,5,2,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 3.0]",acc,0.7222222222222222,"[array([[22,  1],
       [ 9,  4]])]"
bands.csv,5,2,Grouped_Mixed_Bagging,"[[0.3, 0.6, 0.1], 3.0]",f1,0.6965811965811964,"[array([[21,  2],
       [ 8,  5]])]"
bands.csv,5,2,Grouped_Mixed_Bagging,"[[0.2, 0.7, 0.1], 2.0]",auc,0.5183946488294314,"[array([[15,  8],
       [ 8,  5]])]"
bands.csv,5,2,Incremental_Mixed_Bagging,"[[-1.0, 2.0]]",acc,0.8055555555555556,"[array([[23,  0],
       [ 7,  6]])]"
bands.csv,5,2,Incremental_Mixed_Bagging,"[[-1.0, 2.0]]",f1,0.6172839506172839,"[array([[21,  2],
       [10,  3]])]"
bands.csv,5,2,Incremental_Mixed_Bagging,"[[-1.0, 2.0]]",auc,0.7090301003344482,"[array([[22,  1],
       [ 7,  6]])]"
bands.csv,6,2,base,None,acc,0.5833333333333334,"[array([[16,  7],
       [ 8,  5]])]"
bands.csv,6,2,base,None,f1,0.5794326241134752,"[array([[16,  7],
       [ 8,  5]])]"
bands.csv,6,2,base,None,auc,0.540133779264214,"[array([[16,  7],
       [ 8,  5]])]"
bands.csv,6,2,wagging,None,acc,0.6111111111111112,"[array([[19,  4],
       [10,  3]])]"
bands.csv,6,2,wagging,None,f1,0.5752136752136753,"[array([[19,  4],
       [10,  3]])]"
bands.csv,6,2,wagging,None,auc,0.5284280936454849,"[array([[19,  4],
       [10,  3]])]"
bands.csv,6,2,AdaBoost,None,acc,0.6666666666666666,"[array([[17,  6],
       [ 6,  7]])]"
bands.csv,6,2,AdaBoost,None,f1,0.6666666666666665,"[array([[17,  6],
       [ 6,  7]])]"
bands.csv,6,2,AdaBoost,None,auc,0.6387959866220735,"[array([[17,  6],
       [ 6,  7]])]"
bands.csv,6,2,Grouped_Mixed_Bagging,"[[0.0, 0.7, 0.3], 3.0]",acc,0.6111111111111112,"[array([[18,  5],
       [ 9,  4]])]"
bands.csv,6,2,Grouped_Mixed_Bagging,"[[0.0, 0.7, 0.3], 3.0]",f1,0.6730469965764083,"[array([[20,  3],
       [ 8,  5]])]"
bands.csv,6,2,Grouped_Mixed_Bagging,"[[0.0, 0.7, 0.3], 3.0]",auc,0.5066889632107024,"[array([[18,  5],
       [10,  3]])]"
bands.csv,6,2,Incremental_Mixed_Bagging,"[[-1.0, 2.0]]",acc,0.4722222222222222,"[array([[15,  8],
       [11,  2]])]"
bands.csv,6,2,Incremental_Mixed_Bagging,"[[-1.0, 2.0]]",f1,0.5534979423868313,"[array([[20,  3],
       [11,  2]])]"
bands.csv,6,2,Incremental_Mixed_Bagging,"[[-1.0, 2.0]]",auc,0.48996655518394644,"[array([[19,  4],
       [11,  2]])]"
bands.csv,7,2,base,None,acc,0.6666666666666666,"[array([[17,  6],
       [ 6,  7]])]"
bands.csv,7,2,base,None,f1,0.6666666666666665,"[array([[17,  6],
       [ 6,  7]])]"
bands.csv,7,2,base,None,auc,0.6387959866220735,"[array([[17,  6],
       [ 6,  7]])]"
bands.csv,7,2,wagging,None,acc,0.6111111111111112,"[array([[20,  3],
       [11,  2]])]"
bands.csv,7,2,wagging,None,f1,0.5534979423868313,"[array([[20,  3],
       [11,  2]])]"
bands.csv,7,2,wagging,None,auc,0.511705685618729,"[array([[20,  3],
       [11,  2]])]"
