model,perf_measure,accuracy_mean_mean,accuracy_mean_median,accuracy_mean_std,Dataset
Grouped_Mixed_Bagging,acc,0.6255110917790344,0.6254233843652621,0.005657997099262314,hill_valley_without_noise_traintest
Incremental_Mixed_Bagging,acc,0.6204711242949535,0.6204918032786886,0.005825173022663308,hill_valley_without_noise_traintest
Grouped_Mixed_Bagging,acc,0.6926043137445835,0.6945420906567993,0.009125682903146264,saheart
Incremental_Mixed_Bagging,acc,0.6979648473635522,0.6988899167437558,0.010833036860108345,saheart
Grouped_Mixed_Bagging,acc,0.8036910457963089,0.8038961038961039,0.009846693800375042,glass1
Incremental_Mixed_Bagging,acc,0.809090909090909,0.8084415584415584,0.013596221177657266,glass1
Grouped_Mixed_Bagging,acc,0.9906838263542067,0.9905321062096688,0.001180100769734516,banknote_authentication
Incremental_Mixed_Bagging,acc,0.9914883606986366,0.991262033216968,0.0006888106725052647,banknote_authentication
Grouped_Mixed_Bagging,acc,0.7676363046197027,0.7681978958824597,0.0039694057229974836,yeast1
Incremental_Mixed_Bagging,acc,0.7707927196005614,0.7715626700526029,0.004257948303189345,yeast1
Grouped_Mixed_Bagging,acc,0.7976537729866836,0.7975903614457831,0.00431560973454896,mammographic
Incremental_Mixed_Bagging,acc,0.8067216233354471,0.8072289156626506,0.004566951827528423,mammographic
Grouped_Mixed_Bagging,acc,0.8280135823429542,0.8258064516129032,0.00775779674341332,vertebral_column
Incremental_Mixed_Bagging,acc,0.8305602716468591,0.8290322580645162,0.008144295071057647,vertebral_column
Grouped_Mixed_Bagging,acc,0.8955282227307398,0.8936594202898551,0.005871805249754188,chatfield_4
Incremental_Mixed_Bagging,acc,0.8950705568268497,0.8936594202898551,0.006828900925549646,chatfield_4
Grouped_Mixed_Bagging,acc,0.7633684210526316,0.763,0.005936801667151095,credit-g
Incremental_Mixed_Bagging,acc,0.7626315789473684,0.762,0.0067594421722159586,credit-g
Grouped_Mixed_Bagging,acc,0.7479197994987469,0.7452380952380953,0.009465709721250624,liver-disorders
Incremental_Mixed_Bagging,acc,0.7511278195488721,0.7519047619047619,0.007721223815644887,liver-disorders
Grouped_Mixed_Bagging,acc,0.9478274330327096,0.9477924599791608,0.0013454226586867499,spambase
Incremental_Mixed_Bagging,acc,0.9477933822906228,0.9480117457611064,0.0013056111020212735,spambase
Grouped_Mixed_Bagging,acc,0.7837894736842106,0.784,0.019112471051844746,fri_c0_250_50
Incremental_Mixed_Bagging,acc,0.7892631578947369,0.792,0.015552213508990893,fri_c0_250_50
Grouped_Mixed_Bagging,acc,0.9085734072022159,0.908157894736842,0.007649865060092501,parkinsons
Incremental_Mixed_Bagging,acc,0.9087811634349029,0.9078947368421052,0.00665870399718273,parkinsons
Grouped_Mixed_Bagging,acc,0.9460241820768135,0.9464864864864864,0.0017207654052223793,ring
Incremental_Mixed_Bagging,acc,0.9463798008534849,0.9464864864864864,0.0019904502482882484,ring
Grouped_Mixed_Bagging,acc,0.7314568638090071,0.7308204467353951,0.005531621681288858,contraceptive_NL
Incremental_Mixed_Bagging,acc,0.73928264604811,0.7411834192439862,0.004771996785937204,contraceptive_NL
Grouped_Mixed_Bagging,acc,0.684044958130353,0.6820931639443437,0.007387090149039138,ilpd
Incremental_Mixed_Bagging,acc,0.6819817238195307,0.6787356321839081,0.010747330957552651,ilpd
Grouped_Mixed_Bagging,acc,0.7144976076555024,0.7127272727272727,0.012477615160470109,teaching_assistant_LH
Incremental_Mixed_Bagging,acc,0.6964114832535886,0.7018181818181818,0.018820776877162104,teaching_assistant_LH
Grouped_Mixed_Bagging,acc,0.711578947368421,0.7136363636363636,0.0163407306160809,teaching_assistant_MH
Incremental_Mixed_Bagging,acc,0.7169856459330144,0.7236363636363636,0.01336446995125348,teaching_assistant_MH
Grouped_Mixed_Bagging,acc,0.6805472263868065,0.6776461769115442,0.008904056544996099,diabetic_retinopathy
Incremental_Mixed_Bagging,acc,0.6874453562692339,0.6889505247376312,0.006754553517383953,diabetic_retinopathy
Grouped_Mixed_Bagging,acc,0.9961538461538462,0.9961538461538462,0.0,bodyfat
Incremental_Mixed_Bagging,acc,0.9961538461538462,0.9961538461538462,0.0,bodyfat
Grouped_Mixed_Bagging,acc,0.7437094989726569,0.7448948948948949,0.009834534878507615,bands
Incremental_Mixed_Bagging,acc,0.7436462778568041,0.7424174174174174,0.011916253975114751,bands
Grouped_Mixed_Bagging,acc,1.0,1.0,0.0,breastcancer
Incremental_Mixed_Bagging,acc,1.0,1.0,0.0,breastcancer
Grouped_Mixed_Bagging,acc,0.6810197779091925,0.6816604244694132,0.006923999780560986,Yeast_CYTvsNUC
Incremental_Mixed_Bagging,acc,0.6810171496156121,0.6816978776529339,0.007540261210877585,Yeast_CYTvsNUC
Grouped_Mixed_Bagging,acc,0.8818005785740948,0.8802304964539006,0.005748971183438304,musk1
Incremental_Mixed_Bagging,acc,0.8908104703247479,0.8927304964539007,0.006739452375230352,musk1
Grouped_Mixed_Bagging,acc,0.6515697137580795,0.6508771929824562,0.005895848801012756,contraceptive_NS
Incremental_Mixed_Bagging,acc,0.6621421975992613,0.6614035087719298,0.006764840633636279,contraceptive_NS
