n_trees,model,accuracy_mean,accuracy_std,Dataset
20,Incremental_Mixed_Bagging,0.9648182957393484,0.0262244847277802,wdbc
30,Grouped_Mixed_Bagging,0.96312656641604,0.0335231087358,wdbc
30,Incremental_Mixed_Bagging,0.9560463659147868,0.0223114201963622,wdbc
50,Grouped_Mixed_Bagging,0.9648809523809524,0.0309248771799143,wdbc
50,Incremental_Mixed_Bagging,0.9701441102756893,0.0219397926583419,wdbc
100,Grouped_Mixed_Bagging,0.9683897243107767,0.0258713050831045,wdbc
100,Incremental_Mixed_Bagging,0.9666353383458648,0.0254020333679315,wdbc
150,Grouped_Mixed_Bagging,0.9701441102756893,0.0262020198232207,wdbc
150,Incremental_Mixed_Bagging,0.968358395989975,0.025900183841988,wdbc
200,Grouped_Mixed_Bagging,0.9666353383458648,0.0254020333679315,wdbc
200,Incremental_Mixed_Bagging,0.9613408521303258,0.0245243819042095,wdbc
20,Grouped_Mixed_Bagging,0.9443751522904484,0.0086205141274506,sylvine
20,Incremental_Mixed_Bagging,0.9449633741471736,0.0057478255096023,sylvine
30,Grouped_Mixed_Bagging,0.9428126522904484,0.0089622995700683,sylvine
30,Incremental_Mixed_Bagging,0.942620766325536,0.0075058409966901,sylvine
50,Grouped_Mixed_Bagging,0.9447650158382066,0.0088564306229746,sylvine
50,Incremental_Mixed_Bagging,0.9424246923732944,0.0068678818650737,sylvine
100,Grouped_Mixed_Bagging,0.9432063230994152,0.0063595209972087,sylvine
100,Incremental_Mixed_Bagging,0.9465213054337231,0.0088189692787863,sylvine
150,Grouped_Mixed_Bagging,0.945935748659844,0.0084681472148677,sylvine
150,Incremental_Mixed_Bagging,0.9469134533382066,0.0068379895777912,sylvine
200,Grouped_Mixed_Bagging,0.94554778874269,0.0064938955438346,sylvine
200,Incremental_Mixed_Bagging,0.9465213054337231,0.0083746593679796,sylvine
20,Grouped_Mixed_Bagging,0.7945155607751028,0.0319700539114538,titanic
20,Incremental_Mixed_Bagging,0.7967880211391661,0.0277114279484484,titanic
30,Grouped_Mixed_Bagging,0.7937404580152672,0.0282930601300021,titanic
30,Incremental_Mixed_Bagging,0.8044274809160304,0.0320445047886498,titanic
50,Grouped_Mixed_Bagging,0.8082560187903699,0.025256875010926,titanic
50,Incremental_Mixed_Bagging,0.8097827363476219,0.0252663385115256,titanic
100,Grouped_Mixed_Bagging,0.8052025836758661,0.0309531111361863,titanic
100,Incremental_Mixed_Bagging,0.8090311215502055,0.0360758608647608,titanic
150,Grouped_Mixed_Bagging,0.800604815032296,0.0308835700791687,titanic
150,Incremental_Mixed_Bagging,0.8082677627715796,0.0298780771718741,titanic
200,Grouped_Mixed_Bagging,0.8021491485613623,0.028813817942788,titanic
200,Incremental_Mixed_Bagging,0.8044392248972402,0.0307288025235377,titanic
20,Grouped_Mixed_Bagging,0.5455555555555556,0.116587274573997,teaching_assistant_LM
20,Incremental_Mixed_Bagging,0.5955555555555556,0.1497322713593157,teaching_assistant_LM
30,Grouped_Mixed_Bagging,0.5355555555555556,0.1056432384355974,teaching_assistant_LM
30,Incremental_Mixed_Bagging,0.5255555555555556,0.1318903397842126,teaching_assistant_LM
50,Grouped_Mixed_Bagging,0.5755555555555556,0.1398411797560202,teaching_assistant_LM
50,Incremental_Mixed_Bagging,0.5666666666666667,0.1217161238900368,teaching_assistant_LM
100,Grouped_Mixed_Bagging,0.5555555555555556,0.134256066373273,teaching_assistant_LM
100,Incremental_Mixed_Bagging,0.5655555555555555,0.1247713958989315,teaching_assistant_LM
150,Grouped_Mixed_Bagging,0.5355555555555556,0.1056432384355974,teaching_assistant_LM
150,Incremental_Mixed_Bagging,0.6066666666666667,0.1577621275493231,teaching_assistant_LM
200,Grouped_Mixed_Bagging,0.5355555555555556,0.1056432384355974,teaching_assistant_LM
200,Incremental_Mixed_Bagging,0.5255555555555556,0.1035779661015237,teaching_assistant_LM
20,Grouped_Mixed_Bagging,0.9570600414078674,0.0213591290702757,breast-w
20,Incremental_Mixed_Bagging,0.9556728778467908,0.0217369284763419,breast-w
30,Grouped_Mixed_Bagging,0.9527950310559008,0.0223736636392522,breast-w
30,Incremental_Mixed_Bagging,0.9585093167701864,0.0183876110412843,breast-w
50,Grouped_Mixed_Bagging,0.9527950310559008,0.0151152896467445,breast-w
50,Incremental_Mixed_Bagging,0.9570807453416148,0.0202040056440463,breast-w
100,Grouped_Mixed_Bagging,0.9527950310559008,0.0165476117620605,breast-w
100,Incremental_Mixed_Bagging,0.9585300207039336,0.0156843742962956,breast-w
150,Grouped_Mixed_Bagging,0.9585093167701864,0.0227927649813964,breast-w
150,Incremental_Mixed_Bagging,0.9570807453416148,0.0190486317131114,breast-w
200,Grouped_Mixed_Bagging,0.954223602484472,0.0147421603893615,breast-w
200,Incremental_Mixed_Bagging,0.9570807453416148,0.0164968912918752,breast-w
20,Grouped_Mixed_Bagging,0.9076579722051072,0.010109934928846,phoneme
20,Incremental_Mixed_Bagging,0.9104336961730676,0.0121843139652086,phoneme
30,Grouped_Mixed_Bagging,0.9146902170192373,0.0083698447417989,phoneme
30,Incremental_Mixed_Bagging,0.9132114739508456,0.0085766727709901,phoneme
50,Grouped_Mixed_Bagging,0.9130273156705688,0.0075072314547981,phoneme
50,Incremental_Mixed_Bagging,0.9133973437393031,0.0091859292032387,phoneme
100,Grouped_Mixed_Bagging,0.9159882248237146,0.0080049309112244,phoneme
100,Incremental_Mixed_Bagging,0.9150599027863352,0.0133492700692009,phoneme
150,Grouped_Mixed_Bagging,0.917281098103649,0.00816271876699,phoneme
150,Incremental_Mixed_Bagging,0.9139487916752242,0.0112483916082794,phoneme
200,Grouped_Mixed_Bagging,0.918761894981858,0.0084058663155379,phoneme
200,Incremental_Mixed_Bagging,0.918948449373588,0.0111331694168868,phoneme
20,Grouped_Mixed_Bagging,0.7930952380952381,0.1062689225513591,sonar
20,Incremental_Mixed_Bagging,0.8223809523809523,0.1096456649015164,sonar
30,Grouped_Mixed_Bagging,0.818095238095238,0.0913229659055643,sonar
30,Incremental_Mixed_Bagging,0.7695238095238095,0.1132103285184048,sonar
50,Grouped_Mixed_Bagging,0.7938095238095239,0.1210685606253005,sonar
50,Incremental_Mixed_Bagging,0.7988095238095239,0.1242120542327903,sonar
100,Grouped_Mixed_Bagging,0.8078571428571429,0.1054812365174187,sonar
100,Incremental_Mixed_Bagging,0.8176190476190476,0.107627943631944,sonar
150,Grouped_Mixed_Bagging,0.8130952380952381,0.1315510605501605,sonar
150,Incremental_Mixed_Bagging,0.8321428571428571,0.0932142772675974,sonar
200,Grouped_Mixed_Bagging,0.8176190476190476,0.1092370296511871,sonar
200,Incremental_Mixed_Bagging,0.7985714285714286,0.1119424680367721,sonar
20,Grouped_Mixed_Bagging,0.8298550724637682,0.0378355426374561,arrhythmia_cfs
20,Incremental_Mixed_Bagging,0.8277777777777778,0.0609960643135005,arrhythmia_cfs
30,Grouped_Mixed_Bagging,0.8408695652173913,0.0420115214732878,arrhythmia_cfs
30,Incremental_Mixed_Bagging,0.8519806763285024,0.0446140198888086,arrhythmia_cfs
50,Grouped_Mixed_Bagging,0.8540579710144927,0.0275512478950872,arrhythmia_cfs
50,Incremental_Mixed_Bagging,0.847584541062802,0.0484599097771469,arrhythmia_cfs
100,Grouped_Mixed_Bagging,0.8475362318840579,0.0462436583766708,arrhythmia_cfs
100,Incremental_Mixed_Bagging,0.8585990338164251,0.0546167023391246,arrhythmia_cfs
150,Grouped_Mixed_Bagging,0.8563768115942029,0.0354340864857284,arrhythmia_cfs
150,Incremental_Mixed_Bagging,0.8365217391304348,0.0443645574828886,arrhythmia_cfs
200,Grouped_Mixed_Bagging,0.8431400966183574,0.0424180693376766,arrhythmia_cfs
200,Incremental_Mixed_Bagging,0.8519323671497585,0.0446210231190545,arrhythmia_cfs
20,Grouped_Mixed_Bagging,0.690420168067227,0.0876909087992452,bupa
20,Incremental_Mixed_Bagging,0.6925210084033614,0.0549326073499664,bupa
30,Grouped_Mixed_Bagging,0.6927731092436975,0.0596042626501994,bupa
30,Incremental_Mixed_Bagging,0.7069747899159664,0.0732535039578418,bupa
50,Grouped_Mixed_Bagging,0.7072268907563025,0.0538881995042194,bupa
50,Incremental_Mixed_Bagging,0.7185714285714286,0.0657511341164257,bupa
100,Grouped_Mixed_Bagging,0.7273109243697479,0.0546128700513872,bupa
100,Incremental_Mixed_Bagging,0.7129411764705883,0.0563132506464467,bupa
150,Grouped_Mixed_Bagging,0.7215966386554622,0.0489580245417594,bupa
150,Incremental_Mixed_Bagging,0.7243697478991596,0.0601269492122896,bupa
200,Grouped_Mixed_Bagging,0.7361344537815127,0.0543734926993879,bupa
200,Incremental_Mixed_Bagging,0.7127731092436975,0.0458850547970999,bupa
20,Grouped_Mixed_Bagging,0.7552802460697198,0.0750214109132305,diabetes
20,Incremental_Mixed_Bagging,0.7617566643882434,0.0510510351730761,diabetes
30,Grouped_Mixed_Bagging,0.7591592617908407,0.0601630612775865,diabetes
30,Incremental_Mixed_Bagging,0.7487183868762817,0.0552721533182374,diabetes
50,Grouped_Mixed_Bagging,0.7551948051948052,0.0527974648886726,diabetes
50,Incremental_Mixed_Bagging,0.7604237867395762,0.0561133158311583,diabetes
100,Grouped_Mixed_Bagging,0.7499829118250171,0.0604645888082735,diabetes
100,Incremental_Mixed_Bagging,0.7552460697197539,0.0412548836108688,diabetes
150,Grouped_Mixed_Bagging,0.7656698564593302,0.0511155813314155,diabetes
150,Incremental_Mixed_Bagging,0.7669685577580314,0.0572399194160449,diabetes
200,Grouped_Mixed_Bagging,0.7604237867395762,0.0545795345937857,diabetes
200,Incremental_Mixed_Bagging,0.7630895420369105,0.0574788565656133,diabetes
20,Grouped_Mixed_Bagging,0.6138870071805989,0.0387922439862972,hill_valley_without_noise_traintest
20,Incremental_Mixed_Bagging,0.6271169218263107,0.0346520443615543,hill_valley_without_noise_traintest
30,Grouped_Mixed_Bagging,0.6352933206882536,0.0193800364665615,hill_valley_without_noise_traintest
30,Incremental_Mixed_Bagging,0.6196179379487875,0.0364124371728616,hill_valley_without_noise_traintest
50,Grouped_Mixed_Bagging,0.6229575938219754,0.0303694614326949,hill_valley_without_noise_traintest
50,Incremental_Mixed_Bagging,0.6204511583796234,0.0292790018434961,hill_valley_without_noise_traintest
100,Grouped_Mixed_Bagging,0.6295623899200651,0.0430201030722689,hill_valley_without_noise_traintest
100,Incremental_Mixed_Bagging,0.6163527977238857,0.0243698768298168,hill_valley_without_noise_traintest
150,Grouped_Mixed_Bagging,0.6188253624170167,0.0202080319404057,hill_valley_without_noise_traintest
150,Incremental_Mixed_Bagging,0.6122070180192386,0.0275089283090305,hill_valley_without_noise_traintest
200,Grouped_Mixed_Bagging,0.6303685137515241,0.0295042244770476,hill_valley_without_noise_traintest
200,Incremental_Mixed_Bagging,0.626256604796098,0.028838538849287,hill_valley_without_noise_traintest
20,Grouped_Mixed_Bagging,0.6750231267345052,0.0464469179011341,saheart
20,Incremental_Mixed_Bagging,0.707631822386679,0.0355382994101134,saheart
30,Grouped_Mixed_Bagging,0.6705827937095282,0.0595877616811797,saheart
30,Incremental_Mixed_Bagging,0.6773358001850138,0.0492083196123993,saheart
50,Grouped_Mixed_Bagging,0.6967160037002775,0.0461279260359616,saheart
50,Incremental_Mixed_Bagging,0.6815911193339501,0.04247894240469,saheart
100,Grouped_Mixed_Bagging,0.6945420906567993,0.0586551213400356,saheart
100,Incremental_Mixed_Bagging,0.6988899167437558,0.0497606505375793,saheart
150,Grouped_Mixed_Bagging,0.6988436632747457,0.0489430042903762,saheart
150,Incremental_Mixed_Bagging,0.7075393154486587,0.0474313231306195,saheart
200,Grouped_Mixed_Bagging,0.6945420906567993,0.0498638234654346,saheart
200,Incremental_Mixed_Bagging,0.7074468085106382,0.0530280103211764,saheart
20,Grouped_Mixed_Bagging,0.7896103896103897,0.0597217836763046,glass1
20,Incremental_Mixed_Bagging,0.7662337662337662,0.0858252327082995,glass1
30,Grouped_Mixed_Bagging,0.7846320346320346,0.0413496085798106,glass1
30,Incremental_Mixed_Bagging,0.8316017316017316,0.0644748805164947,glass1
50,Grouped_Mixed_Bagging,0.8127705627705627,0.0627601955247539,glass1
50,Incremental_Mixed_Bagging,0.8179653679653679,0.0738927351252621,glass1
100,Grouped_Mixed_Bagging,0.7945887445887446,0.0537936732250239,glass1
100,Incremental_Mixed_Bagging,0.8082251082251082,0.0646554827764724,glass1
150,Grouped_Mixed_Bagging,0.8129870129870129,0.0625853531407224,glass1
150,Incremental_Mixed_Bagging,0.8173160173160173,0.0685858449239458,glass1
200,Grouped_Mixed_Bagging,0.8038961038961039,0.0681059993631226,glass1
