"",y,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4,dataset
2,dataset,0.22972972972972974,0.08378378378378379,0.2195945945945946,0.050778050778050754,0.48986486486486486,1.0,0.11690760527969832,0.6579011443876309,0.1878503699653743,0.06418918918918919,0.24937357574789476,0.5895752895752895,0.608600872839586,0.02702702702702703,0.6002919648831126,0.40540540540540543,0.0,0.6129807879908575,0.9110895360613546,analcatdata_gviolence
0,0,0.07407407407407407,0.12592592592592594,0.2111111111111111,0.0,0.3544973544973545,0.3544973544973545,0.0,0.6538461538461539,0.28932426536248435,0.17407407407407408,0.35027170615097625,0.6182336182336182,0.7988250529917226,0.037037037037037035,0.6323731138545954,0.8148148148148148,0.5630192418412644,0.767036913327001,0.9029703977619983,analcatdata_japansolvent
1,1,0.44,0.41600000000000004,0.5720000000000001,0.0,0.5771428571428572,0.5771428571428572,0.07407407407407407,0.6794871794871794,0.3874796919024382,0.32666666666666666,0.4556672750637149,0.93,0.7836631686251707,0.04,0.9328,0.715,0.5121067117311875,0.7466175116533667,0.9310237385426465,analcatdata_japansolvent
2,dataset,0.25,0.2653846153846154,0.3846153846153845,0.0,0.46153846153846145,0.46153846153846145,0.0356125356125356,0.666173570019724,0.3365143742759237,0.24743589743589745,0.400942652743639,0.7681213017751478,0.7915356855078035,0.03846153846153846,0.7768091168091169,0.7668269230769231,0.5385420639037275,0.7572198932915999,0.9164575808296175,analcatdata_japansolvent
0,0,0.14615384615384616,0.16538461538461538,0.6114630467571643,0.4444444444444444,0.4985207100591716,NaN,0.0,0.6296296296296297,0.25245981602924855,0.13589743589743591,0.23551447467163922,0.9778586278586279,0.9509681096990279,0.0038461538461538464,0.9779437869822485,0.8525641025641025,0.7437782789534542,0.7953045461209858,0.8637902266081553,analcatdata_vineyard
1,1,0.17307692307692307,0.2173076923076923,0.5970965309200603,0.5555555555555556,0.5040680473372782,NaN,0.19999999999999998,0.7037037037037037,0.6257941443811826,0.1690705128205128,0.25894510255972236,0.9732441471571907,0.9460246630702466,0.004807692307692308,0.9733727810650887,0.844551282051282,0.7267068830267941,0.8048522225500337,0.8614008561253633,analcatdata_vineyard
2,dataset,0.1581196581196581,0.18846153846153846,0.6050779286073402,0.49382716049382724,0.5009861932938856,NaN,0.08888888888888886,0.6625514403292182,0.41838618418566376,0.15064102564102563,0.2459280870663428,0.975807747546878,0.9487710223084584,0.004273504273504274,0.9759122287968441,0.849002849002849,0.7361909918749386,0.7995479578672294,0.8627282841713589,analcatdata_vineyard
0,0,0.14285714285714285,0.16163265306122448,0.3052914579005255,0.16335149898930035,0.8139146567717996,0.9224489795918367,0.0,0.6386430678466076,0.29811873616574774,0.23996436669906057,0.46190994948522035,0.9750418200066912,0.6858043979778741,0.004081632653061225,0.9751436901291128,0.7698841698841699,0.6617095751166185,0.8157729780644918,0.9911293862216355,arrhythmia_cfs
1,1,0.28019323671497587,0.4995169082125604,0.8913477393040007,0.19333873068781926,0.2870004391743522,0.41975308641975306,0.1551020408163265,0.6946902654867256,0.3714844252948443,0.40764895330112716,0.48344369072630194,0.989845692040711,0.7502249238214078,0.004830917874396135,0.9898947466685336,0.7166731949340646,0.53559427745651,0.7855337193851561,0.9881209936571419,arrhythmia_cfs
2,dataset,0.20575221238938052,0.3163716814159292,0.5736844894282231,0.17708458961229465,0.5726065969428801,0.6922320550639134,0.07103124435614952,0.6643107003941838,0.33171762477132954,0.3167579716252283,0.4717716407173086,0.9818214693674039,0.7153067184416164,0.004424778761061947,0.9818991518628741,0.7455154269313562,0.6039532330466132,0.8019244680055926,0.9897516489188696,arrhythmia_cfs
