dataset,n_ensemble,method_weights,compl_measure,loss_selected,loss_train_mean,loss_test_mean,train_acc_mean,test_acc_mean,loss_train_std,loss_test_std,train_acc_std,test_acc_std,conf_matr_train_total,conf_matr_test_total
no2,42,classic,none,log_loss,0.6211758779374286,0.6544553875553426,0.6771111111111111,0.608,0.003338004871927939,0.02151765756736444,0.010939414147613381,0.041311822359545794,"[[1717, 542], [911, 1330]]","[[173, 78], [118, 131]]"
no2,43,classic,none,log_loss,0.6203883260106254,0.6540153772271132,0.6799999999999999,0.612,0.0033478347164189047,0.020485675663287194,0.009132465189583676,0.041311822359545794,"[[1728, 531], [909, 1332]]","[[173, 78], [116, 133]]"
no2,44,classic,none,log_loss,0.6196413810108873,0.6533562955595549,0.6797777777777778,0.6140000000000001,0.003365764254901732,0.019998613163746005,0.007730012058189378,0.04325634186002224,"[[1734, 525], [916, 1325]]","[[174, 77], [116, 133]]"
no2,45,classic,none,log_loss,0.6188285390220231,0.6528918944100702,0.6804444444444444,0.6140000000000001,0.0034364425280214556,0.019894741059470332,0.008235224953888771,0.04325634186002223,"[[1720, 539], [899, 1342]]","[[174, 77], [116, 133]]"
no2,46,classic,none,log_loss,0.6180760330928894,0.6523606746294799,0.6808888888888889,0.6060000000000001,0.003395461306163251,0.020963241249978577,0.008651141523351967,0.053374983736661594,"[[1715, 544], [892, 1349]]","[[170, 81], [116, 133]]"
no2,47,classic,none,log_loss,0.6173254653588922,0.6525431455668204,0.6808888888888889,0.604,0.003412391715058471,0.0217279973226003,0.008839368231215589,0.053995884616844236,"[[1717, 542], [894, 1347]]","[[170, 81], [117, 132]]"
no2,48,classic,none,log_loss,0.6165334802414115,0.6526036019230219,0.6811111111111111,0.6060000000000001,0.0035228442398042696,0.021724165585764163,0.008965717360674232,0.053374983736661594,"[[1716, 543], [892, 1349]]","[[171, 80], [117, 132]]"
no2,49,classic,none,log_loss,0.6158393979167777,0.6528942280552013,0.6844444444444445,0.6060000000000001,0.0035327989997217986,0.021185944215998072,0.009369711585684103,0.050815570667092025,"[[1724, 535], [885, 1356]]","[[171, 80], [117, 132]]"
no2,50,classic,none,log_loss,0.6151282921552669,0.6530400058004522,0.6835555555555556,0.6,0.0035357079494686195,0.021513838676337445,0.00914447369600651,0.0498887651569859,"[[1706, 553], [871, 1370]]","[[169, 82], [118, 131]]"
no2,51,classic,none,log_loss,0.6144377306017996,0.6533684395546551,0.6837777777777778,0.6,0.003516313194358301,0.021775323483719293,0.010266677355560685,0.04898979485566354,"[[1712, 547], [876, 1365]]","[[169, 82], [118, 131]]"
no2,52,classic,none,log_loss,0.6137548772376813,0.6533196649175037,0.6831111111111111,0.602,0.0035293721132450503,0.021781096606899454,0.010004114379931333,0.05202563470700447,"[[1709, 550], [876, 1365]]","[[170, 81], [118, 131]]"
no2,53,classic,none,log_loss,0.6130828615568542,0.6535569197863158,0.6846666666666666,0.602,0.003583588955688301,0.021480139208811852,0.010017816775587681,0.05202563470700447,"[[1700, 559], [860, 1381]]","[[169, 82], [117, 132]]"
no2,54,classic,none,log_loss,0.6124189856788016,0.6530261371286116,0.6862222222222222,0.6,0.003610590675093941,0.02171355671466898,0.007964254847831476,0.04898979485566354,"[[1696, 563], [849, 1392]]","[[168, 83], [117, 132]]"
no2,55,classic,none,log_loss,0.6117952228742929,0.6532951674725307,0.6864444444444444,0.604,0.003633996875292221,0.022221149284242195,0.00706233270314256,0.048808013913928354,"[[1702, 557], [854, 1387]]","[[169, 82], [116, 133]]"
no2,56,classic,none,log_loss,0.6111581784741593,0.6530671209535598,0.6877777777777778,0.6,0.003631180563829262,0.022427392014333036,0.006219576156943225,0.04320493798938574,"[[1708, 551], [854, 1387]]","[[168, 83], [117, 132]]"
no2,57,classic,none,log_loss,0.6105223527681083,0.6524296418930897,0.6882222222222223,0.6,0.0036250922381537163,0.02220341638878174,0.006112794380971187,0.04320493798938574,"[[1711, 548], [855, 1386]]","[[168, 83], [117, 132]]"
no2,58,classic,none,log_loss,0.6099271655724177,0.6524479634915714,0.6891111111111111,0.602,0.0036313795673456866,0.02204421299556342,0.006905197740101581,0.04263540521418529,"[[1713, 546], [853, 1388]]","[[169, 82], [117, 132]]"
no2,59,classic,none,log_loss,0.6092814666481198,0.6525199219023118,0.6886666666666666,0.602,0.0037006292317962913,0.02230610940087599,0.0072160467424933865,0.04263540521418529,"[[1714, 545], [856, 1385]]","[[169, 82], [117, 132]]"
