,dataset,accuracy_mean_easy,accuracy_mean_hard,accuracy_mean_combo,accuracy_mean_combo_extreme,accuracy_mean_split2,accuracy_mean_split2_extreme,accuracy_mean_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_mean_split4,accuracy_mean_split4_extreme,accuracy_mean_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_mean_split9,accuracy_mean_split9_extreme,accuracy_mean_split4_classic,accuracy_mean_split4_classic_extreme,weights
26,hill_valley_without_noise_traintest,0.0,1.0,0.9421052631578948,0.2631578947368421,0.8894736842105263,0.015789473684210527,0.8052631578947368,0.46842105263157896,0.45789473684210524,0.28421052631578947,0.8210526315789474,0.1736842105263158,0.9526315789473684,0.1,0.6578947368421053,0.8263157894736842,LSC
26,hill_valley_without_noise_traintest,0.9526315789473684,0.3736842105263158,0.9052631578947369,0.6578947368421053,0.3894736842105263,0.6684210526315789,0.6842105263157895,0.9315789473684211,0.24210526315789474,0.7736842105263158,0.8842105263157894,0.8842105263157894,0.34210526315789475,0.8473684210526315,0.9421052631578948,0.39473684210526316,F1
22,contraceptive_NS,0.9473684210526315,0.0,0.7105263157894737,0.9105263157894737,0.8947368421052632,0.8421052631578947,0.7842105263157895,0.9052631578947369,0.45263157894736844,0.8736842105263158,0.8210526315789474,0.7684210526315789,0.5894736842105263,0.4421052631578947,0.8736842105263158,0.9368421052631579,Hostility
22,contraceptive_NS,0.9157894736842105,0.0,0.7,0.22631578947368422,0.6263157894736842,0.4473684210526316,0.6052631578947368,0.5263157894736842,0.6157894736842106,0.5210526315789473,0.7052631578947368,0.22105263157894736,0.41578947368421054,0.46842105263157896,0.16842105263157894,0.26842105263157895,kDN
22,contraceptive_NS,1.0,0.0,0.9421052631578948,0.9894736842105263,0.868421052631579,0.35789473684210527,0.6421052631578947,0.6894736842105263,0.6473684210526316,0.1631578947368421,0.9578947368421052,0.4105263157894737,0.5263157894736842,0.5157894736842106,0.5210526315789473,0.5368421052631579,DCP
22,contraceptive_NS,0.7315789473684211,0.015789473684210527,0.8210526315789474,0.4789473684210526,0.21052631578947367,0.7105263157894737,0.5947368421052631,0.30526315789473685,0.49473684210526314,0.6105263157894737,0.48947368421052634,0.6263157894736842,0.2789473684210526,0.43157894736842106,0.4631578947368421,0.5052631578947369,TD_U
22,contraceptive_NS,0.9315789473684211,0.0,0.5842105263157895,0.2,0.5526315789473685,0.9421052631578948,0.1736842105263158,0.8894736842105263,0.22631578947368422,0.8315789473684211,0.5105263157894737,0.8789473684210526,0.5789473684210527,0.8157894736842105,0.45789473684210524,0.5526315789473685,CLD
22,contraceptive_NS,0.4263157894736842,0.010526315789473684,0.11052631578947368,0.11578947368421053,0.4263157894736842,0.24210526315789474,0.6052631578947368,0.10526315789473684,0.3263157894736842,0.3,0.06315789473684211,0.7315789473684211,0.4263157894736842,0.4421052631578947,0.34210526315789475,0.2,N1
22,contraceptive_NS,0.5105263157894737,0.35789473684210527,0.5421052631578948,0.7105263157894737,0.43157894736842106,0.5052631578947369,0.28421052631578947,0.23157894736842105,0.6,0.3894736842105263,0.4052631578947368,0.3105263157894737,0.1736842105263158,0.35789473684210527,0.4368421052631579,0.5631578947368421,N2
22,contraceptive_NS,0.20526315789473684,0.031578947368421054,0.3684210526315789,0.08421052631578947,0.30526315789473685,0.9,0.3736842105263158,0.3263157894736842,0.22631578947368422,0.8157894736842105,0.24736842105263157,0.4842105263157895,0.21052631578947367,0.4631578947368421,0.5631578947368421,0.21052631578947367,LSC
