,n_ensemble,weights,dataset,accuracy_mean_easy,accuracy_mean_hard,accuracy_mean_combo,accuracy_mean_combo_extreme,accuracy_mean_split2,accuracy_mean_split2_extreme,accuracy_mean_split1_classic,accuracy_mean_split1_classic_extreme,accuracy_mean_split4,accuracy_mean_split4_extreme,accuracy_mean_split2_classic,accuracy_mean_split2_classic_extreme,accuracy_mean_split9,accuracy_mean_split9_extreme,accuracy_mean_split4_classic,accuracy_mean_split4_classic_extreme
408,99,DCP,bupa,-0.02873949579831936,-0.026302521008403357,-0.0001680672268907779,0.0,0.008823529411764786,0.002941176470588225,-0.002941176470588225,0.008823529411764675,0.014789915966386569,0.011596638655462232,0.020420168067226907,0.01462184873949579,0.006050420168067228,0.023193277310924354,-0.0001680672268907779,0.029327731092436915
409,109,DCP,bupa,-0.028823529411764692,-0.029159663865546248,-0.0001680672268907779,-0.002941176470588225,0.008739495798319341,0.008823529411764675,-0.005798319327731116,0.02050420168067224,0.008991596638655452,0.008571428571428674,0.020420168067226907,0.017478991596638682,0.008991596638655563,0.023445378151260465,-0.0001680672268907779,0.020588235294117685
410,119,DCP,bupa,-0.02285714285714291,-0.014537815126050346,0.0028571428571428914,0.011680672268907566,0.011680672268907566,0.026218487394958023,0.005966386554621783,0.02924369747899158,0.014873949579831902,0.02310924369747902,0.03210084033613447,0.020420168067226907,0.0062184873949580055,0.026470588235294135,0.020336134453781574,0.026470588235294135
411,129,DCP,bupa,-0.03159663865546214,-0.023445378151260465,-0.00588235294117645,-0.005714285714285783,0.00588235294117645,0.017478991596638682,-0.005630252100840338,0.008739495798319341,0.011932773109243677,0.008571428571428563,0.014705882352941124,0.01462184873949579,0.0117647058823529,0.014789915966386569,0.0026890756302521135,0.011848739495798344
412,139,DCP,bupa,-0.03159663865546225,-0.0235294117647058,-0.002941176470588225,-0.011596638655462232,0.011680672268907566,0.020420168067226907,-0.005714285714285783,0.020420168067226907,0.012016806722689122,0.011596638655462232,0.014705882352941124,0.023445378151260465,0.014789915966386569,0.014789915966386569,0.011512605042016788,0.023445378151260465
413,149,DCP,bupa,-0.03747899159663859,-0.020840336134453796,-0.005966386554621894,-0.008571428571428674,0.0030252100840335583,0.008823529411764675,-0.01722689075630257,0.005966386554621783,0.006134453781512561,-0.008739495798319341,0.017563025210084016,0.01462184873949579,-0.005630252100840449,0.017563025210084016,-0.005966386554621783,0.011848739495798233
414,159,DCP,bupa,-0.0346218487394957,-0.029495798319327693,-0.0031092436974790028,-0.0028571428571427804,0.002941176470588225,0.014453781512605013,-0.008571428571428563,0.017563025210084016,0.00025210084033611135,-0.008655462184874008,0.01462184873949579,0.014537815126050457,0.0001680672268907779,0.017563025210084016,-0.0031092436974788917,0.00588235294117645
415,169,DCP,bupa,-0.03756302521008403,-0.03537815126050414,-0.0001680672268906669,-0.005798319327731116,0.008823529411764675,0.008655462184874008,-0.011512605042016788,0.0117647058823529,-0.0026890756302521135,-8.403361344533344e-05,0.011848739495798344,0.011680672268907566,0.005966386554621894,0.017563025210084016,-0.0030252100840335583,0.011680672268907566
416,179,DCP,bupa,-0.04058823529411759,-0.03252100840336125,-0.0001680672268906669,-0.011512605042016788,0.005966386554621894,0.008571428571428563,-0.008571428571428563,0.01462184873949579,-0.005630252100840338,0.0,0.014705882352941124,0.017563025210084016,8.403361344544447e-05,0.014537815126050457,-0.008739495798319341,0.011680672268907566
417,189,DCP,bupa,-0.03176470588235292,-0.029579831932773026,0.005714285714285783,-0.017310924369747904,0.0031092436974788917,0.011512605042016788,-0.005714285714285783,0.017563025210084016,0.0031092436974788917,8.403361344544447e-05,0.014705882352941124,0.017563025210084016,0.011680672268907566,0.0117647058823529,0.0,0.0232773109243698
418,199,DCP,bupa,-0.03756302521008403,-0.03243697478991592,0.002773109243697558,-0.017310924369747904,0.0001680672268906669,0.014453781512605013,-0.005714285714285783,0.011680672268907566,0.0001680672268906669,-0.0028571428571427804,0.0117647058823529,0.008739495798319341,0.011680672268907566,0.011680672268907566,0.0,0.011596638655462232
566,average,DCP,hill_valley_without_noise_traintest,-0.01893239398455493,-0.0012112179921419663,0.0003580138192657012,-0.0038084270424061373,-0.0010947026148219186,0.009106828343042883,-8.061238314593933e-05,0.0007712369597615565,0.009074312423790754,0.0022717111502507104,0.0032858013819265786,0.005281465926026296,0.004534954613196085,0.008904281262701486,0.004732421081154237,0.010519238585557478
546,9,DCP,hill_valley_without_noise_traintest,-0.021419861807343232,0.0033328817233436725,0.011577022083728461,-0.0057377049180328266,0.012376371765343452,0.013257011245088712,0.009172198889039307,0.01078444655195765,0.014069909226392063,0.017314727001761177,0.014882807207695414,0.013196043896490983,0.013257011245088712,0.004965451835794554,0.0198414848936459,0.028918845684866468
