,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4,y
917,0.0,0.0,0.0,0.008528784648187626,0.38461538461538464,0.6,0.0,0.75,0.020577981730430628,0.0,0.02783819679322741,0.35070140280561124,0.7730049556654253,0.0,0.52,0.5,0.443044109506286,0.4515887214876332,0.46013333346898033,1
918,0.0,0.0,0.0,0.008528784648187626,0.38461538461538464,0.6,0.0,0.75,0.020577756901564825,0.0,0.04026488453736776,0.40881763527054105,0.7547382917055636,0.0,0.55,0.5,0.43605231454395743,0.47553209708305916,0.5150118796221609,1
919,0.0,0.0,0.0,0.008528784648187626,0.38461538461538464,0.6,0.0,0.75,0.020743992633645958,0.0,0.14903833743494777,0.7394789579158316,0.886199840282718,0.0,0.56,0.5,0.43815885920379977,0.44337666814171833,0.4485944770796369,1
920,0.0,0.0,0.0,0.008528784648187626,0.38461538461538464,0.6,0.0,0.75,0.020594426923146614,0.0,0.06626896271388616,0.7074148296593186,0.8299446126794479,0.0,0.5780000000000001,0.5,0.44145730276659295,0.47620252341800684,0.5109477440694208,1
921,0.0,0.0,0.0,0.008528784648187626,0.38461538461538464,0.6,0.0,0.75,0.020572104935893287,0.0,0.05514786664623339,0.36072144288577157,0.7054802459257746,0.0,0.5720000000000001,0.5,0.3993299595274698,0.45598259313469214,0.5126352267419145,1
922,0.0,0.0,0.0,0.008528784648187626,0.38461538461538464,0.6,0.0,0.75,0.020722293371303158,0.0,0.055772017612058855,0.8997995991983968,0.9326082817435202,0.0,0.646,0.5,0.4297229324836495,0.4339493536886999,0.43817577489375026,1
923,0.16666666666666663,0.1,0.958997722095672,0.008528784648187626,0.5384615384615384,0.6,0.0,0.75,0.023777447454424727,0.0,0.39932651428138366,0.9939879759519038,0.9823041910334016,0.0,0.926,0.5,0.41883932346558,0.44664760699958983,0.4744558905335996,1
924,0.0,0.0,0.0,0.008528784648187626,0.38461538461538464,0.6,0.0,0.75,0.020573061083425215,0.0,0.05098552626886055,0.3707414829659319,0.762744060450588,0.0,0.526,0.5,0.4156159313400581,0.44704755118221373,0.4784791710243694,1
925,0.0,0.0,0.0,0.008528784648187626,0.38461538461538464,0.6,0.0,0.75,0.020756583319188893,0.0,0.13388809885748754,0.8056112224448898,0.8715217667352892,0.0,0.654,0.5,0.3933412656961511,0.45198637401952435,0.5106314823428977,1
926,0.0,0.0,0.0,0.008528784648187626,0.38461538461538464,0.6,0.0,0.75,0.021589811242953783,0.0,0.12032289824480435,0.9198396793587175,0.9087105189424796,0.0,0.712,0.5,0.3940820978165192,0.45309955047364325,0.5121170031307674,1
