y,dataset,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4
0,Data8,0.076,0.1076,0.796087671232877,0.11263230749366,0.424,0.412,0,0.833333333333333,0.149324088894159,0.0998333333333333,0.204476413574495,0.9227374749499,0.942932179400106,0.000592,0.922892,0.52825,0.223337855641544,0.248560479467118,0.273783103292693
1,Data8,0.208,0.2412,0.458005479452055,0.242614835220613,0.3066,0.451,0,0.833333333333333,0.284870073973229,0.202,0.265980995740642,0.857695390781563,0.864848079391703,0.00125,0.85798,0.42725,0.225029394408215,0.248507992248767,0.271986590089318
2,Data8,0.006,0.0116,0.228734246575342,0.0437671300893744,0.3453,0.42025,0,0.833333333333333,0.0933941635542273,0.0153333333333333,0.101706666640167,0.793647294589178,0.821305973751512,0.000053,0.79406,0.43625,0.196415738520749,0.21718221683505,0.23794869514935
3,Data8,0.052,0.1436,0.93733698630137,0.17667174337054,0.5877,0.6515,0,0.833333333333333,0.293701584175692,0.161,0.302282025081803,0.980436873747495,0.960534613982834,0.000475,0.980476,0.55975,0.212540532730985,0.250297785624529,0.288055038518073
4,Data8,0.034,0.0808,0.645687671232877,0.0909124256829398,0.4485,0.625,0,0.833333333333333,0.0871898485579885,0.0838333333333333,0.200845506043881,0.878076152304609,0.838839773125783,0.00013,0.87832,0.43625,0.191159358499379,0.223511714494975,0.255864070490572
dataset,Data8,0.0752,0.11696,0.613170410958904,0.133319688371425,0.42242,0.51195,0,0.833333333333333,0.181695951831059,0.1124,0.215058321416197,0.886518637274549,0.885692123930388,0.0005,0.8867456,0.47755,0.209696575960174,0.237612037734088,0.265527499508001
0,Data9,0.0179910044977511,0.0251874062968516,0.664915083441886,0.0653012853874923,0.350709260754238,0.419190404797601,0,0.749875,0.120453646830081,0.0266116941529235,0.114773210463325,0.905029467248358,0.951016578319696,7.98550462203257E-05,0.905171851855182,0.715892053973013,0.41083496062405,0.497469654408925,0.5841043481938
1,Data9,0.100449775112444,0.15832083958021,0.876442106815445,0.172834407137954,0.454676507899896,0.988905547226387,0,0.749875,0.230654504591954,0.165417291354323,0.294067319731748,0.976032254143199,0.963662108312379,0.000682704409235742,0.976068187795158,0.739880059970015,0.411715186881037,0.490283487389733,0.568851787898429
2,Data9,0.190690690690691,0.216216216216216,0.52339880864471,0.230913011045092,0.254215754215754,0.705405405405405,0.00149925037481258,0.75025,0.272779605467287,0.197697697697698,0.264971842285011,0.864011379800853,0.868220248416007,0.00148799474136805,0.86421556691827,0.665915915915916,0.433353785019884,0.480726804665129,0.528099824310374
dataset,Data9,0.103,0.1332,0.688334426229508,0.156312286135252,0.35325,0.7045,0.000499250374812588,0.749999875,0.207930177119855,0.129875,0.224583940300966,0.915049873557768,0.927662684714327,0.000749815827270161,0.915177337007172,0.70725,0.418627284604568,0.489497698743341,0.560368112882113
0,WineQualityRed_5vs6,0.183553597650514,0.352716593245228,0.718387991515745,0.420884110997382,0.506118453255017,1,0,0.655799848369977,0.428898001214624,0.337584784280819,0.306705879435367,0.994320635743284,0.860809065856935,0.00146842878120411,0.994328975485218,0.984514751034575,0.687644414781432,0.805055707130965,0.962899778918437
1,WineQualityRed_5vs6,0.297805642633229,0.353918495297806,0.675026123301985,0.449250908447048,0.547370254266806,1,0.0631424375917768,0.677533484963356,0.451439381784841,0.36265487386177,0.316926038050533,0.995450362445436,0.867083173910642,0.00156739811912226,0.995457493538782,0.979481333713309,0.686460304034036,0.803597540402405,0.96057832138534
