,Hostility,kDN,DS,DCP,TD_U,TD_P,MV,CB,CLD,N1,N2,LSC,LSradius,H,U,F1,F2,F3,F4
2741,0.0,0.0,0.0,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.02414887388961251,0.0,0.009937825782630694,0.7079026342114039,0.7641485520022316,0.0,0.832,0.5,0.4834152742599995,0.6155825470382995,0.7477498198165996
2742,0.39185191338100966,0.3,0.9957597173144876,0.4782608695652174,0.25,0.7142857142857143,0.0,0.6666666666666666,0.12218170678841589,0.0,0.34172292374267166,0.9993331110370124,0.9772273809934516,0.0,0.999,1.0,0.7184590395949284,0.7899114759202266,0.8613639122455248
2743,0.11064621106462114,0.0,0.0,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.024148882489423817,0.0,0.007316439696530619,0.8452817605868623,0.8727284164389185,0.0,0.727,0.5,0.5660192079650264,0.7240406751883022,0.8820621424115779
2744,0.0,0.0,0.9674911660777386,0.19696969696969702,0.125,0.42857142857142855,0.0,0.6666666666666666,0.024149263660609654,0.0,0.26896295481744803,0.9879959986662221,0.8415763658662053,0.0,0.9916666666666667,0.5,0.5248666503486146,0.7562961125571368,0.9877255747656591
2745,0.13630898943153524,0.0,0.8671378091872791,0.0075987841945288626,0.1875,0.2857142857142857,0.0,0.6666666666666666,0.025781961015421295,0.0,0.15358703831312626,0.9896632210736912,0.9635478546811966,0.0,0.9923333333333333,1.0,0.6985320002666678,0.829426249862197,0.9603204994577262
2746,0.7070340824524926,0.8,0.9992932862190813,0.5964912280701755,0.34375,0.8571428571428571,0.0,0.6666666666666666,0.7895707106777504,1.0,0.506095525374516,1.0,0.995891224934365,0.001,1.0,1.0,0.8645364616372563,0.8798643783032497,0.8951922949692431
2747,0.8174149453570851,0.8,0.9978798586572438,0.8964851293935883,0.6875,1.0,0.0,0.6666666666666666,0.9151071627912006,0.0,0.3146518394802391,0.9993331110370124,0.9968263196001211,0.0003333333333333333,0.9996666666666667,1.0,0.8508359535632454,0.898794148170805,0.9467523427783646
2748,0.24059750976591987,0.1,0.9469964664310954,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.033217997442740566,0.5,0.4694449877142425,0.9996665555185061,0.989203738614712,0.0,0.961,1.0,0.7507873520677539,0.7569362766257091,0.7630852011836642
2749,0.2703581207765309,0.3,0.9971731448763251,0.10169491525423724,0.3125,0.5714285714285714,0.0,0.6666666666666666,0.0810456351340143,0.0,0.3933020474806045,0.9993331110370124,0.9910499527464387,0.0,0.999,1.0,0.7627031452243359,0.7833266803764143,0.8039502155284928
2750,0.062382297551789145,0.0,0.0,0.0075987841945288626,0.15625,0.2857142857142857,0.0,0.6666666666666666,0.024148874014240707,0.0,0.027955680258463733,0.8506168722907635,0.8620256389168375,0.0,0.7826666666666666,0.5,0.541734493990268,0.7280687877056282,0.9144030814209884
