,n_ensemble,weights,accuracy_mean_split1,accuracy_std_split1,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split1_extreme,accuracy_std_split1_extreme,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split4_extreme,accuracy_std_split4_extreme
502,50,F1,0.832258064516129,0.0216393675241915,0.8387096774193548,0.022809896167308,0.832258064516129,0.0269890331140024,0.835483870967742,0.0310248130026957,0.8290322580645162,0.0269890331140024,0.8419354838709678,0.0367798524225528
1002,100,F1,0.8387096774193548,0.032258064516129,0.835483870967742,0.023923220926115,0.832258064516129,0.0334458731505286,0.832258064516129,0.0388438534799751,0.829032258064516,0.0404835496710037,0.8451612903225806,0.0388438534799751
1502,150,F1,0.8387096774193548,0.0378259335469631,0.832258064516129,0.0334458731505286,0.8516129032258064,0.0310248130026957,0.8419354838709678,0.038507536730043,0.8387096774193548,0.0441711739923521,0.8290322580645162,0.0334458731505286
1992,199,F1,0.8387096774193548,0.032258064516129,0.832258064516129,0.0269890331140024,0.8419354838709678,0.038507536730043,0.832258064516129,0.0404835496710036,0.8290322580645162,0.0491869376837965,0.835483870967742,0.0367798524225528
153,15,Hostility,0.829032258064516,0.0478464418522301,0.8032258064516128,0.0475738103346859,0.8161290322580644,0.0314412720800289,0.8290322580645162,0.0334458731505286,0.832258064516129,0.0435782454390526,0.8387096774193548,0.032258064516129
503,50,Hostility,0.8290322580645162,0.0420593703561461,0.8129032258064516,0.0435782454390525,0.829032258064516,0.0404835496710037,0.832258064516129,0.0404835496710036,0.829032258064516,0.0314412720800289,0.8387096774193548,0.034214844250962
1003,100,Hostility,0.8258064516129032,0.043278735048383,0.8096774193548388,0.038507536730043,0.8193548387096774,0.0330546798901923,0.8290322580645162,0.0371318207523269,0.8290322580645162,0.0334458731505286,0.835483870967742,0.0367798524225528
1503,150,Hostility,0.8258064516129032,0.0489217770583971,0.8161290322580644,0.0420593703561461,0.8225806451612904,0.032258064516129,0.8225806451612904,0.039507899077148,0.8290322580645162,0.0334458731505286,0.835483870967742,0.0367798524225528
1993,199,Hostility,0.829032258064516,0.0464672912609288,0.8258064516129032,0.0475738103346859,0.8258064516129032,0.0349669086914174,0.8258064516129032,0.0349669086914174,0.832258064516129,0.0450459356250611,0.8387096774193548,0.0411211251096192
154,15,LSC,0.8387096774193548,0.0255022391949063,0.8483870967741935,0.0144262450161276,0.8258064516129032,0.0367798524225528,0.8161290322580645,0.0435782454390525,0.8258064516129032,0.0367798524225528,0.8387096774193548,0.034214844250962
504,50,LSC,0.832258064516129,0.0371318207523269,0.8096774193548388,0.0475738103346859,0.8451612903225806,0.0292998421364273,0.835483870967742,0.0310248130026957,0.8258064516129032,0.0502335854916046,0.8225806451612904,0.022809896167308
1004,100,LSC,0.8290322580645162,0.0371318207523269,0.8193548387096774,0.038507536730043,0.8258064516129032,0.0447562481468116,0.835483870967742,0.0349669086914174,0.8193548387096774,0.0417489648565961,0.8290322580645162,0.0404835496710036
1504,150,LSC,0.8258064516129032,0.0310248130026957,0.8225806451612904,0.0378259335469631,0.8290322580645162,0.0420593703561461,0.8290322580645162,0.0491869376837965,0.832258064516129,0.0404835496710036,0.8290322580645162,0.0371318207523269
1994,199,LSC,0.8290322580645162,0.0314412720800289,0.8258064516129032,0.043278735048383,0.8258064516129032,0.0447562481468116,0.835483870967742,0.0417489648565961,0.835483870967742,0.0461865195589559,0.835483870967742,0.0475738103346859
155,15,N1,0.8290322580645162,0.0565667029572586,0.8129032258064516,0.0269890331140024,0.8096774193548388,0.0349669086914174,0.8129032258064516,0.0388438534799752,0.8193548387096774,0.0265027043954112,0.8129032258064516,0.0554050452816699
505,50,N1,0.835483870967742,0.0489217770583971,0.8225806451612904,0.0360656125403192,0.8161290322580644,0.0530054087908225,0.8129032258064516,0.0517638920512297,0.8161290322580644,0.0435782454390526,0.8193548387096774,0.043278735048383
1005,100,N1,0.8193548387096774,0.0551697786338292,0.8193548387096774,0.0447562481468116,0.8129032258064516,0.0577049800645107,0.8032258064516128,0.0489217770583971,0.8258064516129032,0.0401609664451249,0.8290322580645162,0.0478464418522301
1505,150,N1,0.8193548387096774,0.0527594426896649,0.8258064516129032,0.0349669086914174,0.8032258064516128,0.0489217770583971,0.8,0.0491869376837965,0.8258064516129032,0.038507536730043,0.8225806451612904,0.0411211251096192
1995,199,N1,0.8161290322580644,0.0464672912609288,0.8225806451612904,0.034214844250962,0.8096774193548388,0.0447562481468116,0.8,0.0491869376837965,0.8258064516129032,0.038507536730043,0.8193548387096774,0.043278735048383
156,15,N2,0.8193548387096774,0.043278735048383,0.832258064516129,0.0314412720800289,0.835483870967742,0.0502335854916046,0.8516129032258064,0.0310248130026957,0.835483870967742,0.023923220926115,0.832258064516129,0.0334458731505286
506,50,N2,0.8225806451612904,0.0546962095413328,0.8258064516129032,0.0349669086914174,0.832258064516129,0.0404835496710036,0.8387096774193548,0.0301746563449511,0.8161290322580645,0.0244608885291986,0.832258064516129,0.0371318207523269
